FID,density,basal,POINT_X,POINT_Y
0,0.000000000000000,0.000000000000000,516326.082330000000000,4570756.214590000000000
1,0.000000000000000,0.000000000000000,516315.028557999990000,4572391.651089999800000
2,0.000000000000000,0.000000000000000,516314.704922000000000,4573993.189260000400000
3,0.000000000000000,0.000000000000000,517207.779824000030000,4568337.366130000000000
4,0.000000000000000,0.000000000000000,517114.927205000010000,4571577.995830000400000
5,0.000000000000000,0.000000000000000,517123.156374000010000,4573214.189199999900000
6,0.000000000000000,0.000000000000000,517130.271167000000000,4574816.073900000200000
7,0.000000000000000,0.000000000000000,517139.161017999980000,4576426.471599999800000
8,0.000000000000000,0.000000000000000,518006.651424999990000,4569144.996679999900000
9,0.000000000000000,0.000000000000000,517928.708756999990000,4572412.973500000300000
10,0.000000000000000,0.000000000000000,517921.561831000030000,4574011.495710000400000
11,0.000000000000000,0.000000000000000,517936.702182999990000,4575618.210610000400000
12,0.000000000000000,0.000000000000000,518813.788089999990000,4568354.829040000200000
13,0.000000000000000,0.000000000000000,518800.631450999990000,4569955.710989999600000
14,0.000000000000000,0.000000000000000,518744.883061999980000,4573208.985279999700000
15,0.000000000000000,0.000000000000000,518727.993196000000000,4574813.632150000000000
16,0.000000000000000,0.000000000000000,519613.422272000000000,4569163.092899999600000
17,0.000000000000000,0.000000000000000,519596.899297000030000,4570759.872790000400000
18,0.000000000000000,0.000000000000000,519550.390042999990000,4574000.430879999900000
19,0.000000000000000,0.000000000000000,519549.774021000020000,4575612.048259999600000
20,0.000000000000000,0.000000000000000,520389.084788999990000,4571573.957949999700000
21,0.000000000000000,0.000000000000000,520354.402691000020000,4574800.140990000200000
22,0.000000000000000,0.000000000000000,520363.455372000000000,4576411.801300000400000
23,0.000000000000000,0.000000000000000,521213.612188000000000,4570765.793689999700000
24,0.000000000000000,0.000000000000000,521172.983446999980000,4575609.558919999700000
25,0.000000000000000,0.000000000000000,516393.020444999970000,4569139.454579999700000
26,0.000000000000000,0.000000000000000,517133.439283000010000,4569936.802179999600000
27,0.000000000000000,0.000000000000000,517123.978949000010000,4570748.042999999600000
28,0.000000000000000,0.000000000000000,517938.725475999990000,4570745.770539999900000
29,0.000000000000000,0.000000000000000,518789.187092999990000,4570751.119970000300000
30,0.000000000000000,0.000000000000000,518744.411442000010000,4571579.227509999600000
31,0.000000000000000,0.000000000000000,518738.404828000000000,4575615.738400000100000
32,0.000000000000000,0.000000000000000,519569.864028999990000,4572396.877589999700000
33,0.000000000000000,0.000000000000000,520404.654090999970000,4570764.589970000100000
34,0.000000000000000,0.000000000000000,520373.464182999970000,4572383.326930000400000
35,0.000000000000000,0.000000000000000,520354.775873999980000,4573187.607909999800000
36,0.000000000000000,0.000000000000000,521185.214121999980000,4572383.508910000300000
37,0.000000000000000,0.000000000000000,521236.399372000010000,4573982.267199999700000
38,0.000000000000000,0.000000000000000,521996.966059000000000,4572383.690550000400000
39,0.000000000000000,0.000000000000000,521985.335834000030000,4573178.434740000400000
40,0.000000000000000,0.000000000000000,521973.706689000010000,4573973.173019999600000
41,0.000000000000000,0.000000000000000,521990.566554000020000,4574791.952750000200000
42,0.000000000000000,0.000000000000000,521984.826165999980000,4575610.760230000100000
43,0.000000000000000,0.000000000000000,522809.473681000000000,4572386.803089999600000
44,0.000000000000000,0.000000000000000,522787.568711000030000,4573981.770209999800000
45,0.000000000000000,0.000000000000000,523601.435225000020000,4573990.360159999700000
46,0.000000000000000,0.000000000000000,517209.799365999990000,4567544.972710000400000
