"","X","FID","density","basal","POINT_X","POINT_Y","Line","Type","distance"
"1",1,0,0,0,516326.08233,4570756.21459,"West","Prairie",-34847.895276537
"2",2,0,0,0,589826.929287,4590108.85906,"East","Prairie",32677.822975843
"3",3,1,0,0,516315.028558,4572391.65109,"West","Prairie",-34150.6583910711
"4",4,1,0,0,591405.91209,4591747.9482,"East","Prairie",34584.4770765321
"5",5,2,0,0,516314.704922,4573993.18926,"West","Prairie",-33496.3017545515
"6",6,2,162.304203647,51.1537489114,591431.800324,4590130.06355,"East","Forest",34244.8507811919
"7",7,3,0,0,517207.779824,4568337.36613,"West","Prairie",-34948.4010046149
"8",8,3,0,0,592236.470547,4590931.23257,"East","Prairie",35213.7479987923
"9",9,4,0,0,517114.927205,4571577.99583,"West","Prairie",-33793.5183086876
"10",10,4,328.659233178,256.46250095,591383.308787,4593357.78826,"East","Forest",34867.3726589494
"11",11,5,0,0,517123.156374,4573214.1892,"West","Prairie",-33070.4979124339
"12",12,5,0,0,591442.170623,4589318.55865,"East","Prairie",34082.2879643382
"13",13,6,0,0,517130.271167,4574816.0739,"West","Prairie",-32427.939228522
"14",14,6,0,0,592190.565703,4594141.9533,"East","Prairie",35827.3657424206
"15",15,7,0,0,517139.161018,4576426.4716,"West","Prairie",-31848.5444227085
"16",16,7,266.415670225,22.1391492749,592206.256954,4592545.74274,"East","Forest",35512.8253113959
"17",17,8,0,0,518006.651425,4569144.99668,"West","Prairie",-33889.8511333363
"18",18,8,344.896811348,67.8075760048,589034.511012,4587682.80732,"East","Forest",31414.386694667
"19",19,9,0,0,517928.708757,4572412.9735,"West","Prairie",-32690.2478670703
"20",20,9,181.397563694,15.0741423631,584147.936868,4592420.8586,"East","Forest",27604.621271993
"21",21,10,0,0,517921.561831,4574011.49571,"West","Prairie",-32014.5580764141
"22",22,10,185.837622344,20.8105342038,593072.245265,4588514.0951,"East","Forest",35534.4679741348
"23",23,11,0,0,517936.702183,4575618.21061,"West","Prairie",-31382.0261358875
