"","X","FID","density","basal","POINT_X","POINT_Y","Line","Type","distance"
"24",24,11,919.358774791,158.387628835,593022.120369,4592537.1488,"East","Forest",36313.3478856103
"25",25,12,0,0,518813.78809,4568354.82904,"West","Prairie",-33484.5936943776
"26",26,12,207.104767887,29.068805152,584994.787355,4590009.94723,"East","Forest",27972.2826552734
"27",27,13,0,0,518800.631451,4569955.71099,"West","Prairie",-32839.7784288818
"28",28,13,246.84715168,30.5193486999,593013.516282,4593329.90719,"East","Forest",36456.5836420399
"29",29,14,0,0,518744.883062,4573208.98528,"West","Prairie",-31606.3315334814
"30",30,14,465.149376699,188.555734457,590565.531249,4594150.19392,"East","Forest",34249.1196045641
"31",31,15,0,0,518727.993196,4574813.63215,"West","Prairie",-30954.4458294961
"32",32,15,184.751173669,7.95725812497,584924.054404,4594041.78982,"East","Forest",28771.7687152442
"33",33,16,0,0,519613.422272,4569163.0929,"West","Prairie",-32417.3006552395
"34",34,16,328.671896059,29.9772914224,588228.401856,4589266.34682,"East","Forest",30929.608911841
"35",35,17,0,0,519596.899297,4570759.87279,"West","Prairie",-31795.8788372287
"36",36,17,1477.22296432,182.638861533,590551.685807,4595767.77748,"East","Forest",34657.6996095815
"37",37,18,0,0,519550.390043,4574000.43088,"West","Prairie",-30538.1030567619
"38",38,18,99.9038203416,36.4478493294,591421.433138,4590941.55917,"East","Forest",34425.7839830804
"39",39,19,0,0,519549.774021,4575612.04826,"West","Prairie",-29887.2476629899
"40",40,19,0,0,586599.287306,4590041.87155,"East","Prairie",29531.9357483271
"41",41,20,0,0,520389.084789,4571573.95795,"West","Prairie",-30758.3810298191
"42",42,20,0,0,591451.337241,4588513.87818,"East","Prairie",33938.3922608446
"43",43,21,0,0,520354.402691,4574800.14099,"West","Prairie",-29472.3577657073
"44",44,21,54.3985601914,16.0974678639,585042.688051,4587606.75165,"East","Forest",27471.911871026
"45",45,22,0,0,520363.455372,4576411.8013,"West","Prairie",-28833.1216190602
"46",46,22,151.984687311,46.2840784389,589748.095544,4594948.06024,"East","Forest",33659.8310332175
"47",47,23,0,0,521213.612188,4570765.79369,"West","Prairie",-30302.5507507025
"48",48,23,101.244597128,85.3655205857,588189.041691,4591692.43196,"East","Forest",31407.2232846893
"49",49,24,0,0,521172.983447,4575609.55892,"West","Prairie",-28394.6569124088
"50",50,24,370.025280248,79.6851952066,593066.102017,4589308.99399,"East","Forest",35672.6001806557
"51",51,25,0,0,516393.020445,4569139.45458,"West","Prairie",-35375.5909706079
"52",52,25,169.051011665,51.4813065878,587422.891697,4587646.70562,"East","Forest",29820.1469825729
"53",53,26,0,0,517133.439283,4569936.80218,"West","Prairie",-34388.1941745521
"54",54,26,916.598054921,54.3403095013,586542.70003,4593276.61679,"East","Forest",30134.2715112796
"55",55,27,0,0,517123.978949,4570748.043,"West","Prairie",-34102.8253011609
"56",56,27,213.529211559,118.583745959,588213.678182,4590075.32351,"East","Forest",31103.5200240361
"57",57,28,0,0,517938.725476,4570745.77054,"West","Prairie",-33342.3559233537
"58",58,28,686.209414291,361.005365881,589741.349867,4595756.97074,"East","Forest",33878.0570348804
"59",59,29,0,0,518789.187093,4570751.11997,"West","Prairie",-32548.5029067044
"60",60,29,442.780763661,198.3345269,584185.460835,4590801.6278,"East","Forest",27308.754725211
"61",61,30,0,0,518744.411442,4571579.22751,"West","Prairie",-32294.1302962786
"62",62,30,208.111071618,38.9115800581,589857.877006,4588496.68916,"East","Forest",32368.5759570659
"63",63,31,0,0,518738.404828,4575615.7384,"West","Prairie",-30637.3959436786
"64",64,31,463.698126068,42.5276348425,586569.580105,4591660.88719,"East","Forest",29810.2742348381
"65",65,32,0,0,519569.864029,4572396.87759,"West","Prairie",-31238.1359930217
"66",66,32,338.82811346,7.03915630796,585784.189535,4590833.06056,"East","Forest",28888.9387095054
"67",67,33,0,0,520404.654091,4570764.58997,"West","Prairie",-31047.5458473424
"68",68,33,384.228032693,10.1239433279,585809.882227,4589218.75831,"East","Forest",28564.1389029065
"69",69,34,0,0,520373.464183,4572383.32693,"West","Prairie",-30487.9988169618
"70",70,34,1071.89259599,39.1057916528,588249.723157,4587668.15195,"East","Forest",30638.3270432091
"71",71,35,0,0,520354.775874,4573187.60791,"West","Prairie",-30176.2216200585
"72",72,35,581.388558546,17.9702297835,592982.052894,4595744.6963,"East","Forest",36989.2396890932
"73",73,36,0,0,521185.214122,4572383.50891,"West","Prairie",-29725.9656853019
"74",74,36,501.991979063,18.8228686776,584938.821729,4593237.26651,"East","Forest",28570.8414931433
"75",75,37,0,0,521236.399372,4573982.2672,"West","Prairie",-29030.0074889854
"76",76,37,80.0095859081,15.7300847647,593058.806858,4590114.94819,"East","Forest",35829.0779453641
"77",77,38,0,0,521996.966059,4572383.69055,"West","Prairie",-28966.6080894933
"78",78,38,139.463908632,38.5137360347,588121.455018,4596502.03118,"East","Forest",32563.8292064598
"79",79,39,0,0,521985.335834,4573178.43474,"West","Prairie",-28702.3902041986
"80",80,39,102.641942596,7.95744431729,586553.230239,4592471.34091,"East","Forest",29959.5392900387
"81",81,40,0,0,521973.706689,4573973.17302,"West","Prairie",-28377.3306266731
"82",82,40,751.322882365,28.1718683547,593004.909477,4594122.6588,"East","Forest",36616.4242144161
"83",83,41,0,0,521990.566554,4574791.95275,"West","Prairie",-27995.2085222067
"84",84,41,431.979306468,7.00438865289,586612.641795,4589233.30752,"East","Forest",29348.0348624929
"85",85,42,0,0,521984.826166,4575610.76023,"West","Prairie",-27652.6551126815
"86",86,42,199.128777853,8.07200328334,585024.906282,4588405.48104,"East","Forest",27615.4999186827
"87",87,43,0,0,522809.473681,4572386.80309,"West","Prairie",-28208.3879124551
"88",88,43,559.51373459,38.5573319806,585728.111692,4594061.84466,"East","Forest",29549.8961149414
"89",89,44,0,0,522787.568711,4573981.77021,"West","Prairie",-27653.0377370522
"90",90,44,241.90814231,185.458494089,584236.309678,4587595.0441,"East","Forest",26678.0148196297
"91",91,45,0,0,523601.435225,4573990.36016,"West","Prairie",-26908.8542655538
"92",92,45,65.393114321,46.2567114307,589779.922874,4592532.63242,"East","Forest",33128.870067574
"93",93,46,0,0,517209.799366,4567544.97271,"West","Prairie",-35280.993776241
"94",94,46,469.350483901,83.0003667781,590585.154663,4592543.48466,"East","Forest",33920.6295800535
"95",95,47,0,0,517205.75962,4569129.75295,"West","Prairie",-34630.7514880011
"96",96,47,140.701208626,12.8329838512,588239.063063,4588467.25283,"East","Forest",30773.9386557071
"97",97,48,0,0,517120.767581,4572416.90981,"West","Prairie",-33413.2977289265
"98",98,48,194.992571741,46.2403630117,592967.974521,4596544.69121,"East","Forest",37195.1061581647
"99",99,49,0,0,517125.543954,4574011.46253,"West","Prairie",-32743.5298957944
"100",100,49,198.755484195,56.9016530497,585007.126871,4589204.20468,"East","Forest",27781.3309398783
"101",101,50,0,0,517134.996441,4575620.67828,"West","Prairie",-32129.4079407006
"102",102,50,234.245056834,28.9612682265,589730.443728,4596527.01731,"East","Forest",34098.0687075919
"103",103,51,0,0,518736.64448,4572409.03538,"West","Prairie",-31971.2695714227
"104",104,51,188.088893101,5.81366898105,584119.778891,4594022.13492,"East","Forest",27995.0271815229
"105",105,52,0,0,518717.574785,4574011.52153,"West","Prairie",-31288.8617273343
"106",106,52,136.479267563,23.3744121782,590658.320097,4587701.02081,"East","Forest",33019.5403117808
"107",107,53,0,0,520347.66056,4573991.92039,"West","Prairie",-29822.5528627168
"108",108,53,200.578745285,35.4705278839,591376.220032,4594161.24049,"East","Forest",35039.4714139092
"109",109,54,0,0,520361.142874,4575608.35454,"West","Prairie",-29140.3823349186
"110",110,54,95.013387119,12.5655823994,586519.948283,4594893.40129,"East","Forest",30544.7017109346
"111",111,55,0,0,522022.574113,4570766.99679,"West","Prairie",-29560.915042984
"112",112,55,98.3278188603,57.5958980502,589767.380032,4593335.89005,"East","Forest",33285.0224706195
"113",113,56,0,0,524428.43052,4572386.78826,"West","Prairie",-26709.5369750371
"114",114,56,73.6429019508,67.1677365616,589754.837974,4594139.14168,"East","Forest",33459.7388355353
"115",115,57,0,0,525249.629017,4570803.46412,"West","Prairie",-26627.2201068392
"116",116,57,249.299240878,22.7379221795,592993.479803,4594933.67876,"East","Forest",36794.3640862267
"117",117,58,0,0,520411.978767,4569965.26972,"West","Prairie",-31358.3737462862
"118",118,58,322.8249147,22.2465806256,589036.848781,4589281.62937,"East","Forest",31721.9883287696
"119",119,59,0,0,522009.77005,4571575.34487,"West","Prairie",-29254.1010402547
"120",120,59,207.291154033,21.8474834446,588170.944538,4593304.17621,"East","Forest",31722.768303286
"121",121,60,0,0,522834.663523,4570773.11791,"West","Prairie",-28818.0115375447
"122",122,60,609.590174404,9.88428481775,584091.325551,4595651.84016,"East","Forest",28479.6679321528
"123",123,61,0,0,524411.209765,4573997.9048,"West","Prairie",-26142.1521903165
"124",124,61,367.59484572,21.0477255092,586629.292065,4588431.64377,"East","Forest",29189.5795843844
"125",125,62,0,0,516315.706375,4575601.76277,"West","Prairie",-32903.2577684449
"126",126,62,151.998879624,4.69815711632,584953.586396,4592432.73419,"East","Forest",28391.3011416708
"127",127,63,0,0,524448.194058,4570791.35272,"West","Prairie",-27350.9645749023
"128",128,63,153.437325181,8.78550594734,591390.395737,4592554.32692,"East","Forest",34713.0195144473
"129",129,64,0,0,525220.9835,4574005.44444,"West","Prairie",-25378.12890089
"130",130,64,149.233468346,15.5016314812,589870.457226,4587696.46881,"East","Forest",32241.1908192775
"131",131,65,138.440378952,32.8296268985,589794.240081,4591726.72367,"East","Forest",32992.8305471299
"132",132,65,531.727517656,41.2228374358,523621.975851,4572389.91374,"West","Forest",-27453.2800598961
"133",133,66,67.2997196754,35.6017272379,525242.257408,4571593.56475,"West","Forest",-26288.562565479
"134",134,66,127.797403796,32.3779501564,588179.129563,4592500.568,"East","Forest",31554.7235078319
"135",135,67,0,0,523593.045023,4574798.57274,"West","Prairie",-26559.8041217777
"136",136,67,352.375992087,186.407818873,584898.571574,4595671.48296,"East","Forest",29246.650847821
"137",137,68,0,0,525256.994334,4569996.39371,"West","Prairie",-26973.0382059039
"138",138,68,186.770594508,68.5179533496,585822.153936,4587616.82078,"East","Forest",28239.7617505068
"139",139,69,0,0,518746.856256,4576423.53778,"West","Prairie",-30338.0963215186
"140",140,69,74.2860570156,50.6275494179,593051.509388,4590920.89476,"East","Forest",36002.9191736137
"141",141,70,0,0,518820.040356,4567549.42451,"West","Prairie",-33831.2119154419
"142",142,70,601.8376254,39.644231379,584968.019534,4591624.21211,"East","Forest",28232.4369907463
"143",143,71,0,0,521988.266828,4576411.28434,"West","Prairie",-27328.9753111447
"144",144,71,318.602990365,57.4721124367,586532.167089,4594081.89068,"East","Forest",30329.3853029206
"145",145,72,0,0,525264.351814,4569189.32012,"West","Prairie",-27337.7475550174
"146",146,72,208.616692213,35.9405969911,584893.720992,4596434.78142,"East","Forest",29504.0490788008
"147",147,73,0,0,524402.539159,4575607.7142,"West","Prairie",-25471.1519071542
"148",148,73,105.856379626,5.36382192668,587318.600886,4595713.85573,"East","Forest",31552.9849732157
"149",149,74,0.0338413394211,0.0100142333158,520419.301987,4569165.94833,"West","Prairie",-31686.3243726621
"150",150,74,286.912904934,23.8424700238,584211.083942,4589196.02501,"East","Forest",27007.7929474877
"151",151,75,0.26097831813,0.0297539247777,525220.426186,4575608.64609,"West","Prairie",-24742.20814182
"152",152,75,857.825512013,80.413321499,586585.93109,4590850.43212,"East","Forest",29682.4049378703
"153",153,76,0.171613638755,0.0629575299332,525234.877114,4572383.65526,"West","Prairie",-25969.5483815479
"154",154,76,48.1788352244,20.0183124368,591355.60858,4596548.15822,"East","Forest",35653.2253295094
"155",155,77,60.4702237698,5.54596935108,519603.202208,4567552.00949,"West","Forest",-33124.5830170274
"156",156,77,428.196609621,289.004605593,588129.478635,4595722.79736,"East","Forest",32327.9115367065
"157",157,78,5.95836948934,2.23417128377,521225.428076,4567561.0325,"West","Savanna",-31670.6576749019
"158",158,78,80.2089699103,14.6312945799,589808.564368,4590920.80151,"East","Forest",32859.1148163973
"159",159,79,0,0,525268.1257,4568384.57671,"West","Prairie",-27723.1278348447
"160",160,79,383.796842635,87.3182560472,586645.944918,4587629.97784,"East","Forest",29052.4004421607
"161",161,80,18.5261328222,2.77864969769,523658.174707,4567577.80129,"West","Savanna",-29521.6000447174
"162",162,80,223.561299794,16.8787472137,588146.11924,4594915.29334,"East","Forest",32109.5661254759
"163",163,81,3.66907963687,0.788279639604,522832.167574,4567572.91353,"West","Savanna",-30246.0785378287
"164",164,81,66.8975155781,11.525140302,592269.445799,4587714.19419,"East","Forest",34613.1410530469
"165",165,82,2.14148067449,0.507828800281,523650.394783,4569185.26438,"West","Savanna",-28772.7793079917
"166",166,82,135.604334682,14.2920399609,585703.148191,4595688.1968,"East","Forest",30012.2844244485
"167",167,83,21.3468961033,9.54026934554,523634.368103,4571584.5757,"West","Savanna",-27756.1860601095
"168",168,83,163.657076319,66.3410116623,588198.950758,4590884.29184,"East","Forest",31279.9122164257
"169",169,84,220.973535306,81.0655147479,587347.463808,4594094.83913,"East","Forest",31119.1352895127
"170",170,84,274.667193287,55.6703684405,520427.196405,4567554.21391,"West","Forest",-32385.1445288808
"171",171,85,0,0,525221.905357,4576422.15074,"West","Prairie",-24376.4263839961
"172",172,85,212.540760657,50.4017247418,588162.756414,4594107.78225,"East","Forest",31910.1701928908
"173",173,86,0,0,517983.160478,4567547.28968,"West","Prairie",-34583.8434070017
"174",174,86,182.708602566,128.130464535,592172.035908,4595761.63663,"East","Forest",36213.2140746273
"175",175,87,117.504025538,43.1070820405,521228.939909,4569167.97591,"West","Forest",-30956.0538226298
"176",176,87,330.044043992,100.508707099,592254.133971,4589313.77953,"East","Forest",34877.0547852086
"177",177,88,29.5969820886,5.09898414222,522023.654839,4567567.85121,"West","Savanna",-30960.2686438661
"178",178,88,263.560038482,25.7747336392,586499.976654,4596469.88164,"East","Forest",31023.0038487735
"179",179,89,34.3508970877,4.73439295931,516319.905436,4567542.32471,"West","Savanna",-36087.0287063074
"180",180,89,118.638570641,98.5886837277,588935.413329,4595739.88988,"East","Forest",33102.2436972475
"181",181,90,0,0,591460.508482,4587709.19141,"East","Prairie",33813.0450804206
"182",182,90,1.0382487138,0.153617809426,522030.574086,4569968.49935,"West","Savanna",-29886.5775905378
"183",183,91,129.028107252,30.5976092566,522038.577386,4569170.00041,"West","Forest",-30228.7174739738
"184",184,91,965.246817681,361.005365881,590614.994515,4590931.18748,"East","Forest",33642.2096346741
"185",185,92,0,0,524465.036992,4567578.82102,"West","Prairie",-28821.0778538651
"186",186,92,179.393937755,9.09002499653,587392.440939,4590867.3651,"East","Forest",30480.950154141
"187",187,93,39.2168353835,11.6049348565,524457.374279,4569187.292,"West","Savanna",-28052.8318428294
"188",188,93,41.4067992295,71.3358585072,591362.021787,4595778.57118,"East","Savanna",35438.7190119267
"189",189,94,117.249335014,89.5919613761,587366.177875,4592485.95432,"East","Forest",30756.7238306854
"190",190,94,357.328614702,76.7698985837,522784.738147,4575608.1513,"West","Forest",-26927.10691223
"191",191,95,0,0,525220.704744,4574807.04578,"West","Prairie",-25112.9618879864
"192",192,95,265.393064777,221.751997207,593036.818049,4591729.02671,"East","Forest",36186.8681931556
"193",193,96,77.1636629372,19.5497025624,588979.523174,4592516.60252,"East","Forest",32341.4633149255
"194",194,96,509.149327043,115.837407623,523611.707491,4573190.13796,"West","Forest",-27170.6936394345
"195",195,97,16.3784539918,3.51881209669,593078.388822,4587719.19387,"East","Savanna",35413.6446264959
"196",196,97,25.6255815123,9.40090383734,523576.570917,4576411.80285,"West","Savanna",-25872.3139721545
"197",197,98,0,0,591369.124402,4594969.91085,"East","Prairie",35230.3848860768
"198",198,98,31.7274082061,11.076718856,520423.2509,4568360.0817,"West","Savanna",-32035.2518882015
"199",199,99,54.9003480804,16.1346818469,522031.117726,4568368.92634,"West","Forest",-30586.1883595366
"200",200,99,73.921349103,4.38241055329,585753.407018,4592452.03883,"East","Forest",29174.9865882709
"201",201,100,39.6987210857,4.44555619353,522844.484706,4569177.63262,"West","Savanna",-29498.7222580795
"202",202,100,125.113405429,38.100934858,586507.726844,4595704.90662,"East","Forest",30779.9144468439
"203",203,101,247.32699577,25.0644877079,523654.286353,4568381.5359,"West","Forest",-29138.5085913429
"204",204,101,1602.11298374,361.005365881,584982.447665,4590815.67963,"East","Forest",28095.9511496545
"205",205,102,40.1621668171,14.7337404994,523648.574889,4569982.25063,"West","Savanna",-28426.0712447811
"206",206,102,332.751522118,41.1402751249,584911.314454,4594856.64017,"East","Forest",28998.7351651985
"207",207,103,0,0,518807.541957,4569160.23326,"West","Prairie",-33151.7520295807
"208",208,103,419.404948835,194.6643119,588958.798479,4594123.46383,"East","Forest",32684.4416705229
"209",209,104,109.322055118,9.0846656852,590643.73211,4589307.73515,"East","Forest",33298.370773152
"210",210,104,146.139634259,13.3290082209,523584.659943,4575606.77878,"West","Forest",-26205.3408177591
"211",211,105,0,0,525227.933776,4573194.55463,"West","Prairie",-25662.7274439305
"212",212,105,1201.43440149,253.250731502,587420.52155,4589249.8301,"East","Forest",30138.3644126069
"213",213,106,1.69202245106,0.0994538099675,523646.757037,4570779.23054,"West","Savanna",-28078.941008336
"214",214,106,304.350855807,8.01927645516,589845.300453,4589296.90623,"East","Forest",32515.1694368783
"215",215,107,0,0,522834.760743,4578835.35597,"West","Prairie",-25678.8011395665
"216",216,107,165.200268068,6.11069943067,589003.755597,4590902.55329,"East","Forest",32075.8341955553
"217",217,108,0,0,523610.656778,4578025.62729,"West","Prairie",-25221.807499265
"218",218,108,0,0,586433.499471,4566650.37339,"East","Prairie",25244.9304357077
"219",219,109,0,0,523609.775794,4578834.57013,"West","Prairie",-24945.6696586536
"220",220,109,0,0,593933.970806,4560498.96534,"East","Prairie",32948.97944713
"221",221,110,0,0,523619.521097,4579646.94639,"West","Prairie",-24681.7892456455
"222",222,110,58.1932259335,14.7434714066,591392.874515,4563591.27496,"East","Forest",30239.8126555775
"223",223,111,0,0,523626.500469,4580459.34424,"West","Prairie",-24444.7352573392
"224",224,111,33.5237030419,3.53323590014,593900.53293,4561286.19484,"East","Savanna",32937.6693002347
"225",225,112,0,0,524409.815689,4578841.33867,"West","Prairie",-24189.041507498
"226",226,112,424.133954034,31.162217764,588951.552674,4564314.69851,"East","Forest",27763.2356933663
"227",227,113,0,0,517953.054376,4578841.12275,"West","Prairie",-30344.3582836202
"228",228,113,47.5037206343,3.12916376895,593867.089245,4562073.41882,"East","Forest",32833.5689023726
"229",229,114,0,0,522006.257151,4583673.87072,"West","Prairie",-25389.8410699259
"230",230,114,17.8870528396,5.69188016838,592257.451252,4562008.18686,"East","Savanna",31240.4949408002
"231",231,115,0,0,516314.389752,4578845.35139,"West","Prairie",-31924.3743278988
"232",232,115,89.518296087,13.1089215514,590727.734957,4559544.39253,"East","Forest",29741.4592146764
"233",233,116,0,0,516348.49598,4585269.77155,"West","Prairie",-30875.9223385421
"234",234,116,423.502225635,206.866442319,585806.737555,4561817.72815,"East","Forest",24868.641092441
"235",235,117,0,0,517140.383163,4578036.31119,"West","Prairie",-31348.7766684467
"236",236,117,38.5450119289,33.1246537214,590584.500576,4563565.03717,"East","Savanna",29434.8426896187
"237",237,118,0,0,517137.440406,4578840.35328,"West","Prairie",-31130.7779171233
"238",238,118,36.907211364,5.40463524889,586661.042615,4558612.93344,"East","Savanna",25707.4593931978
"239",239,119,0,0,517134.653897,4579648.42825,"West","Prairie",-30931.036298799
"240",240,119,24.3441949683,8.93081922004,592141.68091,4565223.36764,"East","Savanna",30928.8423959392
"241",241,120,0,0,517131.86704,4580456.49791,"West","Prairie",-30751.2399058854
"242",242,120,41.1999822315,20.8763391354,589728.786914,4565143.86469,"East","Savanna",28516.9820346552
"243",243,121,0,0,517146.322588,4582060.72919,"West","Prairie",-30435.025659032
"244",244,121,61.2343316743,22.4641951379,585005.478818,4560178.83494,"East","Forest",24017.1289118718
"245",245,122,0,0,517157.462398,4586081.81569,"West","Prairie",-30032.0116436347
"246",246,122,166.649341982,9.54199888052,590533.366028,4565172.09075,"East","Forest",29321.1536168263
"247",247,123,0,0,517950.165143,4580460.6806,"West","Prairie",-29951.3810639119
"248",248,123,546.506942059,93.321755208,592373.254043,4558793.33445,"East","Forest",31405.919535704
"249",249,124,0,0,517960.76047,4582065.53021,"West","Prairie",-29630.9591875083
"250",250,124,29.0991160866,7.66726467323,589781.694964,4563539.4031,"East","Savanna",28635.602042915
"251",251,125,0,0,518761.986412,4578036.61019,"West","Prairie",-29798.6909023772
"252",252,125,327.923849062,173.472571438,590756.005287,4558739.63542,"East","Forest",29792.0267102366
"253",253,126,0,0,518768.669806,4578841.87689,"West","Prairie",-29559.5237915961
"254",254,126,24.5138175817,17.8867219823,589893.354504,4560320.99425,"East","Savanna",28906.2371553266
"255",255,127,0,0,518768.566206,4579653.37466,"West","Prairie",-29345.5214994537
"256",256,127,28.0630412206,11.6601973556,588978.899043,4563513.75945,"East","Savanna",27836.6005272555
"257",257,128,0,0,518771.834223,4581267.59385,"West","Prairie",-28979.3480196159
"258",258,128,26.9373593471,6.82468072416,584953.718335,4561797.78757,"East","Savanna",24028.4074498138
"259",259,129,0,0,518775.203519,4582070.31513,"West","Prairie",-28827.4734922398
"260",260,129,78.357487479,17.827241902,592171.470065,4564420.43782,"East","Forest",30976.5532154213
"261",261,130,0,0,518775.215451,4585288.92638,"West","Prairie",-28452.258314963
"262",262,130,71.174005315,4.68837210536,593842.018983,4562879.10944,"East","Forest",32733.9738627156
"263",263,131,0,0,519569.580692,4578840.58858,"West","Prairie",-28791.0802696039
"264",264,131,11.5517575363,2.48182546271,588177.247338,4563491.85518,"East","Savanna",27038.7093294898
"265",265,132,0,0,519574.062796,4580459.51416,"West","Prairie",-28369.3797807585
"266",266,132,421.171476747,61.462292328,585892.390991,4559397.90315,"East","Forest",24909.6165360106
"267",267,133,0,0,519583.80973,4582063.89995,"West","Prairie",-28032.3438631874
"268",268,133,83.1323306625,19.7139260923,590459.006684,4566769.54886,"East","Forest",29271.785977672
"269",269,134,0,0,519591.16817,4583672.32964,"West","Prairie",-27785.8934907278
"270",270,134,36.4919102806,3.03247871398,591272.893862,4566797.5193,"East","Savanna",30086.1244611344
"271",271,135,0,0,519590.57736,4585287.96971,"West","Prairie",-27638.5081682136
"272",272,135,39.5988573296,17.4967124145,593652.877068,4567707.74339,"East","Savanna",32512.8315224383
"273",273,136,0,0,520358.232402,4578027.26939,"West","Prairie",-28283.7401058814
"274",274,136,13.0059797838,5.93120450652,587313.468144,4565075.80952,"East","Savanna",26102.9361010303
"275",275,137,0,0,520370.494093,4578839.28786,"West","Prairie",-28024.4562371082
"276",276,137,22.6918877071,11.498149216,588924.203599,4565115.63663,"East","Savanna",27712.8586869173
"277",277,138,0,0,520375.077839,4579646.72788,"West","Prairie",-27795.1136748921
"278",278,138,6.58834858425,2.41697662384,588118.838332,4565095.7224,"East","Savanna",26907.8803342601
"279",279,139,0,0,520392.416783,4582057.4764,"West","Prairie",-27238.009935418
"280",280,139,13.7785176286,5.05473482369,592201.25131,4563617.49635,"East","Savanna",31044.9855467121
"281",281,140,0,0,520407.196623,4584478.41295,"West","Prairie",-26887.9003377069
"282",282,140,88.1352258431,27.9117363167,592229.354707,4562812.85003,"East","Forest",31132.4867946554
"283",283,141,0,0,521188.562597,4578836.84138,"West","Prairie",-27243.78417732
"284",284,141,84.772364634,34.3638329447,585871.00554,4560202.61854,"East","Forest",24882.8368195906
"285",285,142,0,0,521214.02789,4585288.13501,"West","Prairie",-26018.4296633306
"286",286,142,49.314210857,6.09704258995,592313.544098,4560395.34774,"East","Forest",31327.1873653237
"287",287,143,0,0,521998.130921,4580460.23488,"West","Prairie",-26016.8384829549
"288",288,143,248.421232421,16.1122427436,591337.524787,4565197.73226,"East","Forest",30124.9800271954
"289",289,144,0,0,522014.187881,4584481.56639,"West","Prairie",-25288.2336372956
"290",290,144,317.511187254,41.8301762525,592343.39918,4559594.34576,"East","Forest",31356.3346945273
"291",291,145,0,0,522022.113307,4585289.25837,"West","Prairie",-25212.1129895305
"292",292,145,30.5477904678,6.00577203318,593062.272451,4562040.80677,"East","Savanna",32036.8100953464
"293",293,146,0,0,522812.315748,4580459.79484,"West","Prairie",-25229.8932685106
"294",294,146,1.12320641265,0.16391148188,585071.383939,4558569.22813,"East","Savanna",24122.6470506494
"295",295,147,0,0,522809.040501,4582059.04373,"West","Prairie",-24865.3872054996
"296",296,147,54.4861913721,12.8103721536,588228.581967,4561883.30736,"East","Forest",27257.1618403999
"297",297,148,0,0,522836.649093,4585292.5582,"West","Prairie",-24399.3251551081
"298",298,148,125.47283555,67.3927056487,592051.717946,4567630.93587,"East","Forest",30910.1556597183
"299",299,149,0,0,523642.615062,4582864.96367,"West","Prairie",-23895.9599848371
"300",300,149,84.1012528905,25.3983813693,588859.521851,4566704.60745,"East","Forest",27670.9880276018
"301",301,150,0,0,523655.476238,4584482.47625,"West","Prairie",-23655.6991282224
"302",302,150,90.1052160143,34.7449670006,591456.854368,4558763.91396,"East","Forest",30491.3264133075
"303",303,151,0,0,523651.188643,4585295.85173,"West","Prairie",-23586.655085866
"304",304,151,57.9776565674,12.3680168376,590558.932644,4564368.56907,"East","Forest",29367.0503709326
"305",305,152,0,0,524447.401131,4583663.56701,"West","Prairie",-22973.7202039166
"306",306,152,49.3675294593,16.4097720394,592114.234566,4566024.42828,"East","Forest",30904.2677924923
"307",307,153,0,0,524444.979351,4585293.82055,"West","Prairie",-22795.2109562419
"308",308,153,172.376494289,84.2000583572,585838.873328,4561010.17843,"East","Forest",24871.4674517164
"309",309,154,0,0,525236.904986,4584474.91143,"West","Prairie",-22084.9031644804
