FID,TRP,TRP_X,TRP_Y,x,y,version,entry_id,timestamp,reader_ini,surveyor_n,volume,page,year,state,hubtack_co,baseline,meridian,township,townshipdi,rangenum,rangedir,sectiona,sectionb,interiorse,interiordi,refcorner,traveldir,secondpass,chains,typecorner,cornerid,species,speciescod,verbatim,L1_tree1,L3_tree1,diameter,bearing,degrees,bearingdir,chainstree,species2,speciesc_1,verbatim2,L1_tree2,L3_tree2,diameter2,bearing2,degrees2,bearingd_1,chainstr_1,species3,speciesc_2,verbatim3,L1_tree3,L3_tree3,diameter3,bearing3,degrees3,bearingd_2,chainstr_2,species4,speciesc_3,verbatim4,L1_tree4,L3_tree4,diameter4,bearing4,degrees4,bearingd_3,chainstr_3,ecotype,ecotypenot,ecotype2,ecotypen_1,ecotype3,ecotypen_2,water,nodata,notree,feature,featurenot,timbernote,understory,landnotes,landnotesv,generalnot,recheck,reason,fixed,X_UTM,Y_UTM
0,32N1E2,1.033333333330000,32.000000000000000,735026.780000000030000,519506.380000000000000,1.5-1,609615, ,abuerger,Jeremiah Smith,999,158,1836,IN,Marshall,2,2,32,N,1,E,27,28,0, ,400200,N,N,80.000000000000000,Section,400300, , , ,Water,Water,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , , , , ,Water, ,yes,lake, , , , , , , , ,JP 11-11-14 checked - no trees because this was a  big lake.,549870.393581000040000,4561227.233009999600000
1,32N1E2,1.033333333330000,32.000000000000000,735032.189999999940000,521128.080000000020000,1.5-1,609619, ,abuerger,Jeremiah Smith,999,158,1836,IN,Marshall,2,2,32,N,1,E,21,22,0, ,400300,N,N,80.000000000000000,Section,400400, , , ,Water,Water,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , , , , ,Water, ,yes,lake, , , , , , , , , ,549801.120291000000000,4562848.493820000400000
2,32N1E2,1.033333333330000,32.000000000000000,734234.508200000040000,519541.275199999970000,1.5-1,609617, ,abuerger,Jeremiah Smith,999,158,1836,IN,Marshall,2,2,32,N,1,E,21,28,0, ,400300,W,N,40.000000000000000,(1/4) Section,340300, , , ,Water,Water,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , , , , ,Water, ,yes,lake, , , , , , , , ,JP 11-11-14 checked - no trees because this was a  big lake.,549078.454155000040000,4561225.579509999600000
3,32N1E2,1.033333333330000,32.000000000000000,734258.552700000000000,521153.650499999990000,1.5-1,609620, ,abuerger,Jeremiah Smith,999,158,1836,IN,Marshall,2,2,32,N,1,E,16,21,0, ,400400,W,N,40.000000000000000,(1/4) Section,340400, , , ,Water,Water,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , , , , ,Water, ,yes,lake, , , , , , , , ,JP 11-11-14 checked - no trees because this was a  big lake.,549028.185525999990000,4562838.376830000400000
4,32N1E2,1.033333333330000,32.000000000000000,735021.335399999980000,518701.919500000020000,1.5-1,609614, ,abuerger,Jeremiah Smith,999,158,1836,IN,Marshall,2,2,32,N,1,E,27,28,0, ,400200,N,N,40.000000000000000,(1/4) Section,400240, , , ,Water,Water,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , , , , ,Water, ,yes,lake, , , , , , , , ,JP 11-11-14 checked - no trees because this was a  big lake.,549902.001263999960000,4560422.852260000100000
5,32N1E2,1.033333333330000,32.000000000000000,735029.486999999960000,520317.230199999990000,1.5-1,609618, ,abuerger,Jeremiah Smith,999,158,1836,IN,Marshall,2,2,32,N,1,E,21,22,0, ,400300,N,N,40.000000000000000,(1/4) Section,400340, , , ,Water,Water,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , , , , ,Water, ,yes,lake, , , , , , , , ,JP 11-11-14 checked - no trees because this was a  big lake.,549835.759558000020000,4562037.867350000000000
6,32N1E2,1.033333333330000,32.000000000000000,735811.635499999970000,517877.836899999990000,1.5-1,609613, ,abuerger,Jeremiah Smith,999,158,1836,IN,Marshall,2,2,32,N,1,E,27,34,0, ,400200,E,N,40.000000000000000,(1/4) Section,440200, , , ,Water,Water,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , , , , ,Water, ,yes,lake, , , , , , , , ,JP 11-11-14 checked - no trees because this was a  big lake.,550728.295309999960000,4559635.535509999800000
7,32N1E2,1.033333333330000,32.000000000000000,735824.659600000010000,519485.701100000010000,1.5-1,609616, ,abuerger,Jeremiah Smith,999,158,1836,IN,Marshall,2,2,32,N,1,E,22,27,0, ,400300,E,N,40.000000000000000,(1/4) Section,440300, , , ,Water,Water,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , , , , ,Water, ,yes,lake, , , , , , , , ,JP 11-11-14 checked - no trees because this was a  big lake.,550667.273413000050000,4561243.348199999900000
8,32N1W2,-1.033333333330000,32.000000000000000,725173.073100000040000,523906.896799999990000,1.5-1,617952, ,cbroder1,Abner E. VanNess,999,162,1834,IN,Starke,2,2,32,N,1,W,9,10,0, ,400500,N,N,40.000000000000000,(1/4) Section,400540, , , ,Water,Water,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , , , , ,Water, ,yes,Post in Mou,Water too deep for mound, , , , , , , , ,539837.801014999980000,4565170.866369999900000
9,32N1W2,-1.033333333330000,32.000000000000000,729874.716200000020000,520467.123900000010000,1.5-1,617555, ,cbroder1,David Hillis,999,139,1829,IN,Starke,2,2,32,N,1,W,0,0,24,E,700300,N,N,40.000000000000000,(1/4) Section,700340, , , ,Water,Water,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , , , , ,water, ,yes, , , , , , ,Post in lake, , , ,544686.675184000050000,4561949.860039999700000
10,32N1W2,-1.033333333330000,32.000000000000000,729902.949999999950000,521264.989999999990000,1.5-1,617556, ,cbroder1,David Hillis,999,139,1829,IN,Starke,2,2,32,N,1,W,0,0,24,E,700300,N,N,80.000000000000000,Section,700400, , , ,Water,Water,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , , , , ,Water, ,yes, , , , , , ,Corner in lake, , , ,544678.057669000000000,4562748.680879999900000
11,32N2E2,2.033333333330000,32.000000000000000,743099.040000000040000,517637.020000000020000,1.5-1,639682, ,cbroder1,Jeremiah Smith,999,131,1836,IN,Marshall,2,2,32,N,2,E,32,33,0, ,300100,N,N,80.560000000000002,Section,300200, , , ,Water,Water,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA,M, , , , , ,water, ,yes, , , , ,"2nd,Rolling,Marshy,", ,"Corner in floating marsh on NE margin of lake, to ticklish to venture on- no post- no bearings near", , , ,558008.877000999990000,4559730.438500000200000
12,32N2E2,2.033333333330000,32.000000000000000,743192.880000000000000,520866.310000000000000,1.5-1,639455, ,cbroder1,David Hillis,999,118,1834,IN,Marshall,2,2,32,N,2,E,16,21,0, ,400400,W,N,80.000000000000000,Section,300400, , , ,Water,Water,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , , , , ,Water, ,yes,Post,"Post in wet prairie, water too deep for mound", , , , ,Water too deep for mound, , , ,557954.088327000030000,4562962.750810000100000
13,32N2W2,-2.033333333330000,32.000000000000000,717554.223200000010000,517017.757600000010000,1.5-1,618173, ,cbroder1,"Robert Clark, Jr.",999,51,1833,IN,Starke,2,2,32,N,2,W,0,0,35,S,600100,W,N,40.000000000000000,(1/4) Section,540100, , , ,Water,Water,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , , , , ,Water, ,yes,Post in Mou,"Post in water, no bearings", , , , , , , , ,532555.949689000030000,4557932.277119999800000
14,32N2W2,-2.033333333330000,32.000000000000000,720256.812999999970000,522536.065100000010000,1.5-1,618217, ,cbroder1,"Robert Clark, Jr.",999,54,1833,IN,Starke,2,2,32,N,2,W,0,0,13,E,700400,N,N,40.000000000000000,(1/4) Section,700440, , , ,Water,Water,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , , , , ,Water, ,yes, , , , , , ,Corner in lake, , ,AH 6-24-15 added yes to no tree,534996.804112000040000,4563573.287739999600000
15,32N2W2,-2.033333333330000,32.000000000000000,720294.790000000040000,523341.320000000010000,1.5-1,618218, ,cbroder1,"Robert Clark, Jr.",999,54,1833,IN,Starke,2,2,32,N,2,W,0,0,13,E,700400,N,N,80.000000000000000,Section,700500, , , ,Water,Water,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , , , , ,Water, ,yes, , , , , , ,Corner in lake, , ,AH 6-24-15 added yes to no tree,534997.478987999960000,4564379.921620000200000
16,32N2W2,-2.033333333330000,32.000000000000000,720332.970899999960000,524154.292299999970000,1.5-1,618219, ,cbroder1,"Robert Clark, Jr.",999,54,1833,IN,Starke,2,2,32,N,2,W,0,0,12,E,700500,N,N,40.000000000000000,(1/4) Section,700540, , , ,Water,Water,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , , , , ,Water, ,yes, , , , , , ,Corner in lake, , ,AH 6-24-15 added yes to no tree,534998.000204000040000,4565194.271520000000000
17,32N3E2,3.033333333330000,32.000000000000000,758542.308399999980000,517087.701400000020000,1.5-1,672471, ,cbroder1,David Hillis,999,123,1834,IN,Marshall,2,2,32,N,3,E,25,36,0, ,700200,W,Y,40.000000000000000,(1/4) Section,640200, , , ,Water,Water,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA,R,"Left bank of Tippecanoe River at 39.25 chains, Right bank at 41.75 chains", , , , ,Water, ,yes, , , , , , ,True 40.00 section in Tippecanoe River, , , ,573439.768305000030000,4559890.555340000400000
18,32N3E2,3.033333333330000,32.000000000000000,758664.050000000050000,521925.780900000010000,1.5-1,672537, ,cbroder1,David Hillis,999,127,1834,IN,Marshall,2,2,32,N,3,E,12,13,0, ,700500,W,Y,39.990000000000002,(1/4) Section,640500, , , ,Water,Water,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , , , , ,Water, ,yes,Post,water too deep for mound, , , , , , , , ,573339.689569000040000,4564732.389759999700000
19,32N4E2,4.033333333330000,32.000000000000000,767743.020999999950000,523337.695799999990000,1.5-1,673616, ,cbroder1,Reuben J. Dawson,999,49,1834,IN,Marshall,2,2,32,N,4,E,11,12,0, ,600500,N,N,80.000000000000000,Section,600600, , , ,Water,Water,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA,M,post in marsh, , , , ,Water, ,yes,Post,Post in marsh, , ,"Marshy,", , , , , ,582332.791170999990000,4566559.505239999900000
20,32N4E2,4.033333333330000,32.000000000000000,767748.780200000040000,524114.124200000020000,1.5-1,673635, ,cbroder1,Reuben J. Dawson,999,50,1834,IN,Marshall,2,2,32,N,4,E,1,2,0, ,600600,N,N,38.500000000000000,(1/4) Section,600640, , , ,Water,Water,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA,R,"Right bank of river offset E 3, N 13, W 3", , , , ,Water, ,yes, , , , , , ,True 1/4 section in Tippecanoe River, , , ,582303.052857000030000,4567335.882220000000000
21,32N4E2,4.033333333330000,32.000000000000000,768559.270000000020000,523324.213899999970000,1.5-1,673626, ,cbroder1,Reuben J. Dawson,999,50,1834,IN,Marshall,2,2,32,N,4,E,1,12,0, ,700600,W,Y,40.000000000000000,(1/4) Section,640600, , , ,Water,Water,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , , , , ,Water, ,yes, , , , ,"Low,Marshy,", ,The balance of line inaccessible being a low marsh which the river winds through, , , ,583147.760740000060000,4566583.364509999800000
22,32N5E2,5.033333333330000,32.000000000000000,771848.819800000060000,523240.799600000030000,1.5-1,430839, ,gblad,Reuben J. Dawson,999,465,1834,IN,Kosciusko,2,2,32,N,5,E,5,8,0, ,300600,W,Y,35.979999999999997,(1/4) Section,240600, , , ,Water,Water,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , , , , ,water, ,yes, , , , , , ,Half mile Cor inaccessible by the overflowing of the river, , , ,586433.499471000050000,4566650.373390000300000
23,32N5E2,5.033333333330000,32.000000000000000,779070.459999999960000,516757.469999999970000,1.5-1,428161, ,gblad,S. Sibley,999,436,1833,IN,Kosciusko,2,2,32,N,5,E,0,0,25,E,700300,S,N,80.000000000000000,Section,700200, , , ,Water,Water,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA,L,Cor. in Lake, , , , ,water, ,yes, , , , ,"1st,Rolling,", , , , , ,593933.970806000060000,4560498.965339999600000
24,33N1W2,-1.033333333330000,33.000000000000000,723142.799299999960000,532887.169400000010000,1.5-1,607124, ,cbroder1,Jeremiah Smith,999,222,1834,IN,Starke,2,2,33,N,1,W,8,17,0, ,300500,W,Y,40.079999999999998,(1/4) Section,240500, , , ,Water,Water,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , , , , ,Water, ,yes,Post,too wet for mound, , , , , , , , ,537397.671534999970000,4574052.530609999800000
25,33N1W2,-1.033333333330000,33.000000000000000,723992.858699999980000,533657.022099999940000,1.5-1,607034, ,cbroder1,Jeremiah Smith,999,216,1834,IN,Starke,2,2,33,N,1,W,8,9,0, ,300500,N,N,40.000000000000000,(1/4) Section,300540, , , ,Water,Water,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , , , , ,Water, ,yes,Post,water too deep for mound, , , , , , , , ,538210.196036000040000,4574861.255350000200000
26,33N1W2,-1.033333333330000,33.000000000000000,726965.569999999950000,527880.500000000000000,1.5-1,606249, ,cbroder1,Jeremiah Smith,999,202,1834,IN,Starke,2,2,33,N,1,W,34,35,0, ,500100,N,N,80.000000000000000,Section,500200, , , ,Water,Water,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , , , , ,Water, ,yes,Post,Post in water, , ,"3rd,", ,Water hip deep, , , ,541442.614967999980000,4569225.341049999900000
27,33N2W2,-2.033333333330000,33.000000000000000,711878.626599999960000,534975.787000000010000,1.5-1,610087, ,kbauer3,Jeremiah Smith,999,124,1834,IN,Starke,2,2,33,N,2,W,6,7,0, ,100600,E,Y,43.090000000000003,(1/4) Section,140600, , , ,Water,Water,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , , , , ,Water, ,yes,Post,water too deep for mound, , , , , , , , ,526063.094878999980000,4575618.139290000300000
28,33N2W2,-2.033333333330000,33.000000000000000,715086.150999999950000,533230.417200000030000,1.5-1,607001, ,kbauer3,Jeremiah Smith,999,118,1834,IN,Starke,2,2,33,N,2,W,9,16,0, ,400500,W,Y,40.130000000000003,(1/4) Section,340500, , , ,Water,Water,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , , , , ,Water, ,yes,Post in Mou,in water. in drain running through prairie, , , , , , , , ,529343.949383000030000,4574022.533080000400000
29,33N2W2,-2.033333333330000,33.000000000000000,718296.892499999960000,533094.588800000030000,1.5-1,606888, ,kbauer3,Jeremiah Smith,999,110,1834,IN,Starke,2,2,33,N,2,W,11,14,0, ,600500,W,Y,39.899999999999999,(1/4) Section,540500, , , ,Water,Water,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , , , , ,Water, ,yes,Post,too wet for mound, , , , , , , , ,532553.473623999980000,4574035.537360000400000
30,33N2W2,-2.033333333330000,33.000000000000000,712580.109999999990000,531716.760000000010000,1.5-1,607059, ,kbauer3,Jeremiah Smith,999,122,1834,IN,Starke,2,2,33,N,2,W,19,20,0, ,200300,N,N,80.000000000000000,Section,200400, , , ,Water,Water,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , , , , ,Water, ,yes,Post,"post in terrible marsh, no mound.", , , ,S of river dry.,"date: may 25, 1834", , , ,526913.864950999970000,4572393.570120000300000
31,33N3W2,-3.033333333330000,33.000000000000000,701914.041500000050000,530574.021399999970000,1.5-1,603819, ,kbauer3,Jeremiah Smith,999,444,1834,IN,LaPorte,2,2,33,N,3,W,19,30,0, ,200300,W,N,40.000000000000000,(1/4) Section,140300, , , ,Water,Water,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , , , , ,Water, ,yes,Post,"set post, too wet for mound", , , , , , , ,AH: changed dir to W,516326.082330000000000,4570756.214590000000000
32,33N3W2,-3.033333333330000,33.000000000000000,701978.958800000020000,532207.378799999950000,1.5-1,603829, ,kbauer3,Jeremiah Smith,999,444,1834,IN,LaPorte,2,2,33,N,3,W,18,19,0, ,100400,E,Y,40.039999999999999,(1/4) Section,140400, , , ,Water,Water,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA,M,set post in marsh, , , , ,Water, ,yes, , , , , , , , , , ,516315.028557999990000,4572391.651089999800000
33,33N3W2,-3.033333333330000,33.000000000000000,702053.036100000030000,533806.420099999990000,1.5-1,603835, ,kbauer3,Jeremiah Smith,999,445,1834,IN,LaPorte,2,2,33,N,3,W,7,18,0, ,100500,E,Y,40.560000000000002,(1/4) Section,140500, , , ,Water,Water,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , , , , ,Water, ,yes,Post,set post in ice, , , , , , , , ,516314.704922000000000,4573993.189260000400000
34,33N3W2,-3.033333333330000,33.000000000000000,702683.600199999990000,528118.039899999970000,1.5-1,603804, ,kbauer3,Jeremiah Smith,999,442,1835,IN,LaPorte,2,2,33,N,3,W,31,32,0, ,200100,N,N,40.000000000000000,(1/4) Section,200140, , , ,Water,Water,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , , , , ,Water, ,yes,Post,too deep for mound, , , , , , , , ,517207.779824000030000,4568337.366130000000000
35,33N3W2,-3.033333333330000,33.000000000000000,702741.233899999990000,531357.794200000000000,1.5-1,603822, ,kbauer3,Jeremiah Smith,999,444,1834,IN,LaPorte,2,2,33,N,3,W,19,20,0, ,200400,S,N,40.000000000000000,(1/4) Section,200340, , , ,Water,Water,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , , , , ,Water, ,yes,Post,set post in ice, , , , , , , , ,517114.927205000010000,4571577.995830000400000
36,33N3W2,-3.033333333330000,33.000000000000000,702825.460500000040000,532991.024600000000000,1.5-1,603831, ,kbauer3,Jeremiah Smith,999,444,1834,IN,LaPorte,2,2,33,N,3,W,17,18,0, ,200500,S,N,40.000000000000000,(1/4) Section,200440, , , ,Water,Water,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , , , , ,Water, ,yes,Post,set post in ice, , , , , , , , ,517123.156374000010000,4573214.189199999900000
37,33N3W2,-3.033333333330000,33.000000000000000,702906.980899999970000,534590.079999999960000,1.5-1,603836, ,kbauer3,Jeremiah Smith,999,445,1834,IN,LaPorte,2,2,33,N,3,W,7,8,0, ,200600,S,N,40.000000000000000,(1/4) Section,200540, , , ,Water,Water,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , , , , ,Water, ,yes,Post,set post in ice, , , , , , , , ,517130.271167000000000,4574816.073900000200000
38,33N3W2,-3.033333333330000,33.000000000000000,702990.674000000000000,536197.580100000020000,1.5-1,603843, ,kbauer3,Jeremiah Smith,999,446,1834,IN,LaPorte,2,2,33,N,3,W,5,6,0, ,200700,S,N,40.000000000000000,(1/4) Section,200640, , , ,Water,Water,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , , , , ,Water, ,yes,Post,set post in ice, , , , , , , , ,517139.161017999980000,4576426.471599999800000
39,33N3W2,-3.033333333330000,33.000000000000000,703520.175900000030000,528887.204900000010000,1.5-1,603809, ,kbauer3,Jeremiah Smith,999,443,1835,IN,LaPorte,2,2,33,N,3,W,29,32,0, ,300200,W,Y,39.950000000000003,(1/4) Section,240200, , , ,Water,Water,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA,M,in marsh, , , , ,Water, ,yes, , , , , , , , , , ,518006.651424999990000,4569144.996679999900000
40,33N3W2,-3.033333333330000,33.000000000000000,703593.967700000040000,532153.597100000010000,1.5-1,603827, ,kbauer3,Jeremiah Smith,999,444,1834,IN,LaPorte,2,2,33,N,3,W,17,20,0, ,300400,W,Y,39.960000000000001,(1/4) Section,240400, , , ,Water,Water,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , , , , ,Water, ,yes,Post,set post in ice, , , , , , , , ,517928.708756999990000,4572412.973500000300000
41,33N3W2,-3.033333333330000,33.000000000000000,703661.052600000050000,533749.944999999950000,1.5-1,603834, ,kbauer3,Jeremiah Smith,999,445,1834,IN,LaPorte,2,2,33,N,3,W,8,17,0, ,300500,W,Y,39.840000000000003,(1/4) Section,240500, , , ,Water,Water,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA,M,set post in marsh, , , , ,Water, ,yes, , , , , , , , , , ,517921.561831000030000,4574011.495710000400000
42,33N3W2,-3.033333333330000,33.000000000000000,703750.811600000020000,535353.463600000020000,1.5-1,603839, ,kbauer3,Jeremiah Smith,999,445,1834,IN,LaPorte,2,2,33,N,3,W,5,8,0, ,300600,W,Y,39.909999999999997,(1/4) Section,240600, , , ,Water,Water,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , , , , ,Water, ,yes,Post,set post in ice, , , , , , , , ,517936.702182999990000,4575618.210610000400000
43,33N3W2,-3.033333333330000,33.000000000000000,704290.826600000030000,528060.776799999990000,1.5-1,603750, ,kbauer3,Jeremiah Smith,999,440,1835,IN,LaPorte,2,2,33,N,3,W,32,33,0, ,300100,N,N,40.000000000000000,(1/4) Section,300140, , , ,Water,Water,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , , , , ,Water, ,yes,Post,set post in water 20 in deep, , , , , , , , ,518813.788089999990000,4568354.829040000200000
44,33N3W2,-3.033333333330000,33.000000000000000,704351.988699999990000,529659.690500000030000,1.5-1,603759, ,kbauer3,Jeremiah Smith,999,441,1835,IN,LaPorte,2,2,33,N,3,W,28,29,0, ,300200,N,N,40.000000000000000,(1/4) Section,300240, , , ,Water,Water,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA,M,set post in marsh, , , , ,Water, ,yes, , , , , , , , , , ,518800.631450999990000,4569955.710989999600000
45,33N3W2,-3.033333333330000,33.000000000000000,704447.271599999980000,532910.398900000030000,1.5-1,603780, ,kbauer3,Jeremiah Smith,999,441,1834,IN,LaPorte,2,2,33,N,3,W,16,17,0, ,300500,S,N,40.000000000000000,(1/4) Section,300440, , , ,Water,Water,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , , , , ,Water, ,yes,Post,set post in ice, , , , , , , , ,518744.883061999980000,4573208.985279999700000
46,33N3W2,-3.033333333330000,33.000000000000000,704504.883299999990000,534513.328600000010000,1.5-1,603789, ,kbauer3,Jeremiah Smith,999,442,1834,IN,LaPorte,2,2,33,N,3,W,8,9,0, ,300600,S,N,40.000000000000000,(1/4) Section,300540, , , ,Water,Water,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA,M,set post in marsh, , , , ,Water, ,yes, , , , , , , , , , ,518727.993196000000000,4574813.632150000000000
