FID,TRP,TRP_X,TRP_Y,x,y,version,entry_id,timestamp,reader_ini,surveyor_n,volume,page,year,state,hubtack_co,baseline,meridian,township,townshipdi,rangenum,rangedir,sectiona,sectionb,interiorse,interiordi,refcorner,traveldir,secondpass,chains,typecorner,cornerid,species,speciescod,verbatim,L1_tree1,L3_tree1,diameter,bearing,degrees,bearingdir,chainstree,species2,speciesc_1,verbatim2,L1_tree2,L3_tree2,diameter2,bearing2,degrees2,bearingd_1,chainstr_1,species3,speciesc_2,verbatim3,L1_tree3,L3_tree3,diameter3,bearing3,degrees3,bearingd_2,chainstr_2,species4,speciesc_3,verbatim4,L1_tree4,L3_tree4,diameter4,bearing4,degrees4,bearingd_3,chainstr_3,ecotype,ecotypenot,ecotype2,ecotypen_1,ecotype3,ecotypen_2,water,nodata,notree,feature,featurenot,timbernote,understory,landnotes,landnotesv,generalnot,recheck,reason,fixed,X_UTM,Y_UTM
355,34N2W2,-2.033333333330000,34.000000000000000,718637.113999999940000,541137.181800000020000,1.5-1,606387, ,kbauer3,Jeremiah Smith,999,138,1834,IN,Starke,2,2,34,N,2,W,14,23,0, ,600400,W,Y,40.399999999999999,(1/4) Section,540400, , , ,No tree,No tree,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , , , , , , ,yes,Post in Mou, , , , , ,"date: Tuesday, June 10, 1834", , , ,532520.934975999990000,4582088.854989999900000
356,34N2W2,-2.033333333330000,34.000000000000000,719295.800000000050000,537893.380000000000000,1.5-1,606338, ,kbauer3,Jeremiah Smith,999,133,1833,IN,Starke,2,2,34,N,2,W,35,36,0, ,600100,N,N,80.000000000000000,Section,600200, , , ,No tree,No tree,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , , , , , , ,yes,Post in Mou, , , ,"2nd,Prairie,Level,",interspersed with small groves of Oak and Sassafras, , , , ,533328.154575000050000,4578877.668610000100000
357,34N2W2,-2.033333333330000,34.000000000000000,719380.439999999940000,539516.050000000050000,1.5-1,606345, ,kbauer3,Jeremiah Smith,999,134,1833,IN,Starke,2,2,34,N,2,W,25,26,0, ,600200,N,N,80.000000000000000,Section,600300, , , ,No tree,No tree,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , , , , , , ,yes,Post in Mou, , , ,"Level,grove,", , , , , ,533337.562120000020000,4580503.216160000300000
358,34N2W2,-2.033333333330000,34.000000000000000,720871.525900000010000,537013.311499999950000,1.5-1,606319, ,kbauer3,Jeremiah Smith,999,128,1834,IN,Starke,2,2,34,N,2,W,0,0,36,E,700100,N,N,40.000000000000000,(1/4) Section,700140, , , ,No tree,No tree,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , , , , , , ,yes,Post in Mou, , , , , , , , , ,534940.969564000030000,4578071.102629999600000
359,34N2W2,-2.033333333330000,34.000000000000000,721087.745600000020000,541849.040400000060000,1.5-1,606329, ,kbauer3,Jeremiah Smith,999,129,1834,IN,Starke,2,2,34,N,2,W,0,0,13,E,700400,N,N,40.000000000000000,(1/4) Section,700440, , , ,No tree,No tree,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , , , , , , ,yes,Post in Mou, , , , , , , , , ,534933.149897000050000,4582913.705199999700000
360,34N2W2,-2.033333333330000,34.000000000000000,721153.726999999960000,543455.614300000020000,1.5-1,606333, ,kbauer3,Jeremiah Smith,999,129,1834,IN,Starke,2,2,34,N,2,W,0,0,12,E,700500,N,N,40.000000000000000,(1/4) Section,700540, , , ,No tree,No tree,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , , , , , , ,yes,Post in Mou, , , , , , , , , ,534924.707861999980000,4584522.237040000000000
361,34N3E2,3.033333333330000,34.000000000000000,752028.576899999990000,544085.787600000040000,1.5-1,622001, ,cbroder1,David Hillis,999,245,1834,IN,Marshall,2,2,34,N,3,E,5,6,0, ,200600,N,N,40.000000000000000,(1/4) Section,200640, , , ,No tree,No tree,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , , , , , , ,yes,Post in Mou, , , , , , , , , ,565703.018859999950000,4586576.040029999800000
362,34N3W2,-3.033333333330000,34.000000000000000,703838.363400000030000,536963.990400000010000,1.5-1,602014, ,kbauer3,Jeremiah Smith,999,452,1834,IN,LaPorte,2,2,34,N,3,W,0,0,32,S,300100,W,N,40.000000000000000,(1/4) Section,240100, , , ,No tree,No tree,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , , , , , , ,yes,Post in Mou, , , , , , , , , ,517949.314813999980000,4577231.799159999900000
363,34N3W2,-3.033333333330000,34.000000000000000,705439.544600000020000,536881.029199999990000,1.5-1,602006, ,kbauer3,Jeremiah Smith,999,452,1834,IN,LaPorte,2,2,34,N,3,W,0,0,33,S,400100,W,N,40.000000000000000,(1/4) Section,340100, , , ,No tree,No tree,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , , , , , , ,yes,Post in Mou, , , , , , , , , ,519550.637815999970000,4577223.291140000300000
364,34N3W2,-3.033333333330000,34.000000000000000,706234.630000000000000,536836.020000000020000,1.5-1,602005, ,kbauer3,Jeremiah Smith,999,452,1834,IN,LaPorte,2,2,34,N,3,W,0,0,34,S,500100,W,N,80.000000000000000,Section,400100, , , ,No tree,No tree,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , , , , , , ,yes,Post in Mou, , , ,"2nd,Level,", , , , , ,520345.970833000030000,4577215.244330000100000
365,34N3W2,-3.033333333330000,34.000000000000000,707395.802999999960000,543242.952999999980000,1.5-1,602124, ,kbauer3,Jeremiah Smith,999,466,1835,IN,LaPorte,2,2,34,N,3,W,10,15,0, ,500500,W,Y,40.289999999999999,(1/4) Section,440500, , , ,No tree,No tree,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , , , , , , ,yes,post,set post. Willow too small and dead to use for bearings, , , , , , , ,JP 11-11-14 checked this for trees.,521207.356039999980000,4583671.844639999800000
366,34N4E2,4.033333333330000,34.000000000000000,765593.322999999970000,537793.168999999990000,1.5-1,622399, ,cbroder1,Reuben J. Dawson,999,137,1835,IN,Marshall,2,2,34,N,4,E,22,27,0, ,500300,W,Y,40.030000000000001,(1/4) Section,440300, , , ,No tree,No tree,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , , , , , , ,yes,Post,"Sec post, no timber near", , , , , , , , ,579526.866172999960000,4580909.601590000100000
367,34N5E2,5.033333333330000,34.000000000000000,773705.219000000040000,540785.444800000060000,1.5-1,640539, ,hlegatzk,Reuben J. Dawson,999,27,1835,IN,Kosciusko,2,2,34,N,5,E,9,16,0, ,400500,W,Y,39.649999999999999,(1/4) Section,340500, , , ,No tree,No tree,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , , , , , , ,yes,Post, , , , , ,No tree near, , , ,587484.501047999950000,4584271.360659999800000
368,35N1W2,-1.033333333330000,35.000000000000000,722044.639199999980000,545780.746999999970000,1.5-1,422008, ,wchronis,"Robert Clark, Jr.",999,268,1833,IN,St. Joseph,2,2,35,N,1,W,0,0,31,S,200100,W,N,40.000000000000000,(1/4) Section,140100, , , ,No tree,No tree,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , , , , , , ,yes,Post, , , , , , , , , ,535706.159624999970000,4586886.972620000100000
369,35N1W2,-1.033333333330000,35.000000000000000,722177.472199999960000,548995.540200000050000,1.5-1,421943, ,wchronis,William Clark,999,293,1834,IN,St. Joseph,2,2,35,N,1,W,19,30,0, ,100300,E,Y,39.000000000000000,(1/4) Section,140300, , , ,No tree,No tree,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , , , , , , ,yes,Post, , , , , , , , , ,535690.081817999950000,4590105.562269999600000
370,35N1W2,-1.033333333330000,35.000000000000000,722246.172900000010000,550607.371200000050000,1.5-1,421954, ,wchronis,William Clark,999,293,1834,IN,St. Joseph,2,2,35,N,1,W,18,19,0, ,100400,E,Y,38.500000000000000,(1/4) Section,140400, , , ,No tree,No tree,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , , , , , , ,yes,Post, , , , , , , , , ,535684.113972999970000,4591719.353419999600000
