ID,drainagecl,MUKEY
671,Well drained,625166
672,Well drained,625167
673,Moderately well drained,625185
674,Moderately well drained,625186
675,Moderately well drained,625187
676,Very poorly drained,625188
677,Well drained,625189
678,Well drained,625190
679,Well drained,625191
680,Well drained,625192
681,Well drained,625193
682,Very poorly drained,625194
683,Well drained,625196
684,Well drained,625197
685,Well drained,625198
686,Somewhat poorly drained,625217
687,Moderately well drained,625238
688,Moderately well drained,625239
689,,625291
690,,625292
691,,625293
692,,625294
693,,625295
694,,625296
695,Well drained,625297
696,Well drained,625298
697,Well drained,625299
698,,625300
699,,625301
700,,625302
701,,625303
702,,625309
703,,625310
704,Poorly drained,625332
705,,625408
706,,625409
707,,625557
708,,625559
709,,627866
710,,627867
711,,627868
712,,627869
713,Excessively drained,628153
714,Somewhat excessively drained,2481934
all,NA,1
