"","FID","density","basal","POINT_X","POINT_Y","Line","Type"
"93",46,0,0,517209.799366,4567544.97271,"West","Prairie"
"94",46,469.350483901,83.0003667781,590585.154663,4592543.48466,"East","Forest"
"95",47,0,0,517205.75962,4569129.75295,"West","Prairie"
"96",47,140.701208626,12.8329838512,588239.063063,4588467.25283,"East","Forest"
"97",48,0,0,517120.767581,4572416.90981,"West","Prairie"
"98",48,194.992571741,46.2403630117,592967.974521,4596544.69121,"East","Forest"
"99",49,0,0,517125.543954,4574011.46253,"West","Prairie"
"100",49,198.755484195,56.9016530497,585007.126871,4589204.20468,"East","Forest"
"101",50,0,0,517134.996441,4575620.67828,"West","Prairie"
"102",50,234.245056834,28.9612682265,589730.443728,4596527.01731,"East","Forest"
"103",51,0,0,518736.64448,4572409.03538,"West","Prairie"
"104",51,188.088893101,5.81366898105,584119.778891,4594022.13492,"East","Forest"
"105",52,0,0,518717.574785,4574011.52153,"West","Prairie"
"106",52,136.479267563,23.3744121782,590658.320097,4587701.02081,"East","Forest"
"107",53,0,0,520347.66056,4573991.92039,"West","Prairie"
"108",53,200.578745285,35.4705278839,591376.220032,4594161.24049,"East","Forest"
"109",54,0,0,520361.142874,4575608.35454,"West","Prairie"
"110",54,95.013387119,12.5655823994,586519.948283,4594893.40129,"East","Forest"
"111",55,0,0,522022.574113,4570766.99679,"West","Prairie"
"112",55,98.3278188603,57.5958980502,589767.380032,4593335.89005,"East","Forest"
"113",56,0,0,524428.43052,4572386.78826,"West","Prairie"
"114",56,73.6429019508,67.1677365616,589754.837974,4594139.14168,"East","Forest"
"115",57,0,0,525249.629017,4570803.46412,"West","Prairie"
"116",57,249.299240878,22.7379221795,592993.479803,4594933.67876,"East","Forest"
"117",58,0,0,520411.978767,4569965.26972,"West","Prairie"
"118",58,322.8249147,22.2465806256,589036.848781,4589281.62937,"East","Forest"
"119",59,0,0,522009.77005,4571575.34487,"West","Prairie"
"120",59,207.291154033,21.8474834446,588170.944538,4593304.17621,"East","Forest"
"121",60,0,0,522834.663523,4570773.11791,"West","Prairie"
"122",60,609.590174404,9.88428481775,584091.325551,4595651.84016,"East","Forest"
"123",61,0,0,524411.209765,4573997.9048,"West","Prairie"
"124",61,367.59484572,21.0477255092,586629.292065,4588431.64377,"East","Forest"
"125",62,0,0,516315.706375,4575601.76277,"West","Prairie"
"126",62,151.998879624,4.69815711632,584953.586396,4592432.73419,"East","Forest"
"127",63,0,0,524448.194058,4570791.35272,"West","Prairie"
"128",63,153.437325181,8.78550594734,591390.395737,4592554.32692,"East","Forest"
"129",64,0,0,525220.9835,4574005.44444,"West","Prairie"
"130",64,149.233468346,15.5016314812,589870.457226,4587696.46881,"East","Forest"
"131",65,138.440378952,32.8296268985,589794.240081,4591726.72367,"East","Forest"
"132",65,531.727517656,41.2228374358,523621.975851,4572389.91374,"West","Forest"
"133",66,67.2997196754,35.6017272379,525242.257408,4571593.56475,"West","Forest"
"134",66,127.797403796,32.3779501564,588179.129563,4592500.568,"East","Forest"
"135",67,0,0,523593.045023,4574798.57274,"West","Prairie"
"136",67,352.375992087,186.407818873,584898.571574,4595671.48296,"East","Forest"
"137",68,0,0,525256.994334,4569996.39371,"West","Prairie"
"138",68,186.770594508,68.5179533496,585822.153936,4587616.82078,"East","Forest"
"139",69,0,0,518746.856256,4576423.53778,"West","Prairie"
"140",69,74.2860570156,50.6275494179,593051.509388,4590920.89476,"East","Forest"
"141",70,0,0,518820.040356,4567549.42451,"West","Prairie"
"142",70,601.8376254,39.644231379,584968.019534,4591624.21211,"East","Forest"
"143",71,0,0,521988.266828,4576411.28434,"West","Prairie"
"144",71,318.602990365,57.4721124367,586532.167089,4594081.89068,"East","Forest"
"145",72,0,0,525264.351814,4569189.32012,"West","Prairie"
"146",72,208.616692213,35.9405969911,584893.720992,4596434.78142,"East","Forest"
"147",73,0,0,524402.539159,4575607.7142,"West","Prairie"
"148",73,105.856379626,5.36382192668,587318.600886,4595713.85573,"East","Forest"
"149",74,0.0338413394211,0.0100142333158,520419.301987,4569165.94833,"West","Prairie"
"150",74,286.912904934,23.8424700238,584211.083942,4589196.02501,"East","Forest"
"151",75,0.26097831813,0.0297539247777,525220.426186,4575608.64609,"West","Prairie"
"152",75,857.825512013,80.413321499,586585.93109,4590850.43212,"East","Forest"
"153",76,0.171613638755,0.0629575299332,525234.877114,4572383.65526,"West","Prairie"
"154",76,48.1788352244,20.0183124368,591355.60858,4596548.15822,"East","Forest"
"155",77,60.4702237698,5.54596935108,519603.202208,4567552.00949,"West","Forest"
"156",77,428.196609621,289.004605593,588129.478635,4595722.79736,"East","Forest"
"157",78,5.95836948934,2.23417128377,521225.428076,4567561.0325,"West","Savanna"
"158",78,80.2089699103,14.6312945799,589808.564368,4590920.80151,"East","Forest"
"159",79,0,0,525268.1257,4568384.57671,"West","Prairie"
"160",79,383.796842635,87.3182560472,586645.944918,4587629.97784,"East","Forest"
"161",80,18.5261328222,2.77864969769,523658.174707,4567577.80129,"West","Savanna"
"162",80,223.561299794,16.8787472137,588146.11924,4594915.29334,"East","Forest"
"163",81,3.66907963687,0.788279639604,522832.167574,4567572.91353,"West","Savanna"
"164",81,66.8975155781,11.525140302,592269.445799,4587714.19419,"East","Forest"
"165",82,2.14148067449,0.507828800281,523650.394783,4569185.26438,"West","Savanna"
"166",82,135.604334682,14.2920399609,585703.148191,4595688.1968,"East","Forest"
"167",83,21.3468961033,9.54026934554,523634.368103,4571584.5757,"West","Savanna"
"168",83,163.657076319,66.3410116623,588198.950758,4590884.29184,"East","Forest"
"169",84,220.973535306,81.0655147479,587347.463808,4594094.83913,"East","Forest"
"170",84,274.667193287,55.6703684405,520427.196405,4567554.21391,"West","Forest"
"171",85,0,0,525221.905357,4576422.15074,"West","Prairie"
"172",85,212.540760657,50.4017247418,588162.756414,4594107.78225,"East","Forest"
"173",86,0,0,517983.160478,4567547.28968,"West","Prairie"
"174",86,182.708602566,128.130464535,592172.035908,4595761.63663,"East","Forest"
"175",87,117.504025538,43.1070820405,521228.939909,4569167.97591,"West","Forest"
"176",87,330.044043992,100.508707099,592254.133971,4589313.77953,"East","Forest"
"177",88,29.5969820886,5.09898414222,522023.654839,4567567.85121,"West","Savanna"
"178",88,263.560038482,25.7747336392,586499.976654,4596469.88164,"East","Forest"
"179",89,34.3508970877,4.73439295931,516319.905436,4567542.32471,"West","Savanna"
"180",89,118.638570641,98.5886837277,588935.413329,4595739.88988,"East","Forest"
"181",90,0,0,591460.508482,4587709.19141,"East","Prairie"
"182",90,1.0382487138,0.153617809426,522030.574086,4569968.49935,"West","Savanna"
"183",91,129.028107252,30.5976092566,522038.577386,4569170.00041,"West","Forest"
"184",91,965.246817681,361.005365881,590614.994515,4590931.18748,"East","Forest"
"185",92,0,0,524465.036992,4567578.82102,"West","Prairie"
"186",92,179.393937755,9.09002499653,587392.440939,4590867.3651,"East","Forest"
"187",93,39.2168353835,11.6049348565,524457.374279,4569187.292,"West","Savanna"
"188",93,41.4067992295,71.3358585072,591362.021787,4595778.57118,"East","Savanna"
"189",94,117.249335014,89.5919613761,587366.177875,4592485.95432,"East","Forest"
"190",94,357.328614702,76.7698985837,522784.738147,4575608.1513,"West","Forest"
"191",95,0,0,525220.704744,4574807.04578,"West","Prairie"
"192",95,265.393064777,221.751997207,593036.818049,4591729.02671,"East","Forest"
