"","FID","POINT_X","POINT_Y","Join","Surveyor","SurveyYear","State","County","cornerid","TreeNo","Group_","L2_tree","L1_tree","L3_tree","TDiameter","TDistance","TDegree","water","generalnotes","Line","AREASYMBOL","MUSYM","MUKEY","temp","precip","DEM","om_r","sandtotal_r","silttotal_r","claytotal_r","kwfact","awc_r","ksat_r","CLASS","NCCPI","distance"
"3840",3839,766346.4585,535354.7586,"234143500140tree1","Reuben J. Dawson",1835,"IN","Marshall",NA,"tree1","Other","Hickory","hickory","Hickory",20,4.425696,"159.75"," "," ","East","IN085","Bp",160855,9.949999809,998.960022,253.2681732,0.46,66.5899963,20.2700005,13.1400003,0.17,0.15,28.2299995,"Developed_ Open Space",0.660000026,21509.6043917621
"3841",3840,772735.861,532075.3411,"233153300540tree1","Reuben J. Dawson",1834,"IN","Kosciusko",NA,"tree1","Other","Hickory","Hickory","Hickory",20,3.118104,"99.5"," "," ","East","IN085","RlA",160909,9.949999809,991.0200195,256.2052307,0.9,46,33,21,0.28,0.16,12.9799995,"Cultivated Crops",0.769999981,27113.916226089
"3842",3841,765874.1153,547635.1881,"235143440300tree1","Reuben J. Dawson",1834,"IN","St. Joseph",NA,"tree1","Other","Hickory","Hicky","Hickory",20,6.135624,"316"," "," ","East","IN039","CvdB",165352,9.869999886,1000.73999,265.2721558,0.86,42.0400009,36.7200012,21.2399998,0.34,0.15,4.54,"Developed_ Open Space",0.550000012,22585.745456818
"3843",3842,771101.5212,529673.8453,"233153200400tree2","Reuben J. Dawson",1834,"IN","Kosciusko",NA,"tree2","Other","White Ash","W Ash","Ash",20,8.449056,"228"," "," ","East","IN085","Re",160908,9.93999958,992.9500122,248.7119141,3.0999999,34.1800003,41.2200012,24.6000004,0.25,0.19,9.1700001,"Developed_ Open Space",0.800000012,25088.4932479151
"3844",3843,736115.1286,550123.3777,"235113400400tree2","David Hillis",1834,"IN","Marshall",NA,"tree2","Other","Black Ash","North b ash","Ash",20,7.443216,"123"," "," ","East","IN099","RopB",1702566,9.840000153,1020.099976,229.3193665,0.91,53.8699989,28.1800003,17.9500008,0.25,0.15,22.1000004,"Developed_ Open Space",0.75,1226.39755695767
"3845",3844,746411.5287,519959.7626,"232123500340tree2","Robert Clark Jr",1835,"IN","Marshall",NA,"tree2","Other","Beech","Beech","Beech",20,7.443216,"48"," "," ","East","IN099","RopB",1702566,9.899999619,1018.630005,257.2825623,0.91,53.8699989,28.1800003,17.9500008,0.25,0.15,22.1000004,"Developed_ Open Space",0.75,606.810820975287
"3846",3845,760519.0069,529885.2286,"233143140400tree2","Reuben J. Dawson",1834,"IN","Marshall",NA,"tree2","Other","Beech","beech","Beech",20,4.02336,"195"," "," ","East","IN099","CvdA",1702545,9.970000267,1004.590027,255.3781586,0.86,42.0400009,36.7200012,21.2399998,0.34,0.15,4.54,"Developed_ Open Space",0.560000002,14716.8386036542
"3847",3846,762652.0274,547754.0298,"235143240300tree2","Reuben J. Dawson",1834,"IN","St. Joseph",NA,"tree2","Other","Red Elm","R. Elm","Elm",20,1.50876,"205"," "," ","East","IN099","CvdA",1702545,9.890000343,1005.619995,255.4245148,0.86,42.0400009,36.7200012,21.2399998,0.34,0.15,4.54,"Deciduous Forest",0.560000002,19439.6052685045
"3848",3847,766663.7298,546802.7625,"235143500240tree2","Reuben J. Dawson",1834,"IN","St. Joseph",NA,"tree2","Other","White Ash","W. Ash","Ash",20,0.100584,"330"," "," ","East","IN039","BuuA",165330,9.890000343,998.3400269,263.4483032,2.1099999,35.2299995,36.3800011,28.3899994,0.26,0.18,9.1700001,"Developed_ Open Space",0.790000021,23245.0193992388
"3849",3848,774774.266,548975.5677,"235153400400tree1","Reuben J. Dawson",1834,"IN","Elkhart",NA,"tree1","Other","Sugar Maple","Sugar","Maple",20,5.129784,"337.5"," "," ","East","IN039","CvdA",165351,9.800000191,984.5800171,269.708374,0.86,42.0400009,36.7200012,21.2399998,0.34,0.15,4.54,"Developed_ Open Space",0.560000002,31585.2133535152
"3850",3849,772212.8211,544203.9869,"235153240100tree2","David Hillis",1829,"IN","Elkhart",NA,"tree2","Other","Basswood","Lynn","Basswood",20,5.431536,"284"," "," ","East","IN039","CvdA",165351,9.920000076,990.4099731,263.8259277,0.86,42.0400009,36.7200012,21.2399998,0.34,0.15,4.54,"Developed_ Open Space",0.560000002,28286.6375015145
