"","FID","POINT_X","POINT_Y","Join","Surveyor","SurveyYear","State","County","cornerid","TreeNo","Group_","L2_tree","L1_tree","L3_tree","TDiameter","TDistance","TDegree","water","generalnotes","Line","AREASYMBOL","MUSYM","MUKEY","temp","precip","DEM","om_r","sandtotal_r","silttotal_r","claytotal_r","kwfact","awc_r","ksat_r","CLASS","NCCPI","distance"
"1",0,728196.3004,518970.712,"232117600240tree2","Abner E. VanNess",1834,"IN","Starke",NA,"tree2","Oak","Black Oak","B oak","Oak",NA,32.388048,"7.5"," "," ","West","IN149","Me",162616,9.850000381,1034.26001,225.0707092,1.72,89.7099991,6.8600001,3.4300001,0.07,0.08,91.7399979,"Developed_ Open Space",0.479999989,-16854.1816494434
"2",1,740052.7057,524186.1564,"232113700600tree2","Sylvester Sibley",1833,"IN","Marshall",NA,"tree2","Oak","Bur Oak","Burr Oak","Oak",NA,10.661904,"279"," "," ","West","IN099","CvdA",1702545,10,1022.609985,245.363327,0.86,42.0400009,36.7200012,21.2399998,0.34,0.15,4.54,"Developed_ Open Space",0.560000002,-4789.31921886587
"3",2,708942.4167,523782.8823,"232137600500tree1","Abner E. Van Ness",1834,"IN","Starke",NA,"tree1","Oak","White Oak","w oak","Oak",NA,1,"0"," "," ","West","IN149","To",162633,9.829999924,986.8900146,212.3838196,1.78,11.25,0.88,0.38,0.01,0.12,12.2700005,"Developed_ Low Intensity",0.75,-31292.3941275748
"4",3,723319.0149,518346.6888,"232117300200tree2","Abner E. VanNess",1834,"IN","Starke",NA,"tree2","Oak","Black Oak","B oak","Oak",NA,19.714464,"189"," "," ","West","IN149","Px",162630,9.829999924,1026.310059,217.3795319,1.58,89.2900009,6.96,3.75,0.06,0.07,91.7399979,"Developed_ Open Space",0.5,-21554.7278026644
"5",4,728501.3814,520529.2166,"232117600340tree1","Abner E. VanNess",1834,"IN","Starke",NA,"tree1","Oak","Black Oak","B oak","Oak",NA,245.827296,"91"," "," ","West","IN149","Mh",162617,9.829999924,1033.839966,221.6769867,3.6900001,90.25,6.5,3.25,0.04,0.09,91.7399979,"Cultivated Crops",0.50999999,-16724.0493823285
"6",5,738279.6698,521831.8573,"232113600440tree1","David Hillis",1834,"IN","Marshall",NA,"tree1","Other","Aspen","Poplar","Poplar/tulip poplar",NA,1.810512,"67.5"," "," ","West","IN099","RoqB",2481964,9.909999847,1026.640015,248.5852356,0.68,52.8400002,29.7199993,17.4300003,0.27,0.15,32.1699982,"Developed_ Open Space",0.75999999,-6919.36267657937
"7",6,737262.8017,535624.7445,"234113500100tree2","David Hillis",1833,"IN","Marshall",NA,"tree2","Oak","White Oak","W oak","Oak",60,16.898112,"79"," "," ","West","IN099","BuuA",1702542,10.03999996,1018.289978,256.5773315,2.1099999,35.2299995,36.3800011,28.3899994,0.26,0.18,9.1700001,"Developed_ Open Space",0.790000021,-2941.51079768558
"8",7,742607.6648,533773.148,"233123240600tree1","David Hillis",1834,"IN","Marshall",NA,"tree1","Oak","Red Oak","R. Oak","Oak",47,2.816352,"223"," "," ","West","IN099","OlcB",1702560,10.02000046,1018.940002,236.9490509,0.92,71.5299988,16.0799999,12.3900003,0.15,0.14,35.2200012,"Developed_ Open Space",0.660000026,-1531.05224440724
"9",8,740195.4455,528208.6623,"233113700240tree2","David Hillis",1834,"IN","Marshall",NA,"tree2","Oak","White Oak","W. Oak","Oak",41,40.2336,"184"," "," ","West","IN099","RoqC2",2481965,9.979999542,1020.5,244.4405518,0.63,52.5699997,29.4500008,17.9799995,0.26,0.15,31.2999992,"Cultivated Crops",0.660000026,-4112.1847438534
"10",9,735014.676,542130.51,"234113340500tree1","David Hillis",1834,"IN","Marshall",NA,"tree1","Oak","Red Oak","R oak","Oak",40,0.402336,"295"," "," ","West","IN099","TxuB",1702570,9.93999958,1017.080017,235.9046936,0.48,88.9300003,6.6500001,4.4200001,0.08,0.09,91.7399979,"Developed_ Open Space",0.460000008,-13.3231001327342
"11",10,736190.4078,554127.689,"235113400640tree1","David Hillis",1834,"IN","Marshall",NA,"tree1","Oak","Red Oak","R oak","Oak",40,2.414016,"106"," "," ","West","IN141","BuuA",200283,9.840000153,1020.799988,226.6328125,2.1099999,35.2299995,36.3800011,28.3899994,0.26,0.18,9.1700001,"Developed_ Open Space",0.790000021,-388.07796703105
"12",11,725676.5611,516651.3588,"232117440100tree1","Robert Clark Jr",1833,"IN","Starke",NA,"tree1","Oak","White Oak","W oak","Oak",40,5.0292,"33.75"," "," ","West","IN149","So",162632,9.850000381,1033.420044,216.9566345,2.28,30.5100002,48.3699989,21.1200008,0.27,0.17,23.3999996,"Woody Wetlands",0.469999999,-19029.7381530208
"13",12,740567.82,540411.096,"234113700400tree1","David Hillis",1833,"IN","Marshall",NA,"tree1","Oak","White Oak","W oak","Oak",40,71.41464,"305.25"," "," ","West","IN099","RopB",1702566,10.02999973,1019.280029,248.5148773,0.91,53.8699989,28.1800003,17.9500008,0.25,0.15,22.1000004,"Developed_ Open Space",0.75,-405.849622591729
"14",13,740664.981,541997.2408,"234113700500tree1","David Hillis",1833,"IN","Marshall",NA,"tree1","Oak","White Oak","W oak","Oak",40,19.513296,"320"," "," ","West","IN099","ReyA",1702564,10.02999973,1019.599976,240.6424866,3.0999999,34.1800003,41.2200012,24.6000004,0.25,0.19,9.1700001,"Cultivated Crops",0.800000012,-265.8802532679
"15",14,726657.1298,520621.3219,"232117500340tree1","Abner E. VanNess",1834,"IN","Starke",NA,"tree1","Oak","White Oak","W oak","Oak",38,9.253728,"190.5"," "," ","West","IN149","MdA",162615,9.829999924,1032.47998,224.2949829,0.56,72.5800018,19.4300003,7.9899998,0.18,0.11,63.6699982,"Deciduous Forest",0.49000001,-18517.4490851973
"16",15,742602.9553,527412.364,"233123240200tree1","David Hillis",1834,"IN","Marshall",NA,"tree1","Oak","White Oak","W. Oak","Oak",36,60.3504,"18"," "," ","West","IN099","RopB",1702566,10.05000019,1019.929993,245.2121582,0.91,53.8699989,28.1800003,17.9500008,0.25,0.15,22.1000004,"Cultivated Crops",0.75,-1845.56839991371
"17",16,735658.971,536444.6816,"234113400140tree1","David Hillis",1834,"IN","Marshall",NA,"tree1","Oak","White Oak","W oak","Oak",36,26.554176,"159"," "," ","West","IN099","RoqC2",2481965,10.02999973,1017.929993,259.5380859,0.63,52.5699997,29.4500008,17.9799995,0.26,0.15,31.2999992,"Developed_ Open Space",0.660000026,-2963.04421778278
"18",17,703607.8537,552324.474,"235137200440tree2","William Clark",1834,"IN","LaPorte",NA,"tree2","Oak","White Oak","w oak","Oak",36,57.534048,"4"," "," ","West","IN091","Sb",272690,9.840000153,1005.840027,224.32901,1.34,49.9599991,26.1200008,23.9200001,0.14,0.16,16.6000004,"Cultivated Crops",0.600000024,-30695.5190348212
"19",18,733894.1631,532460.5449,"233113300500tree1","David Hillis",1834,"IN","Marshall",NA,"tree1","Oak","White Oak","W. Oak","Oak",36,16.495776,"175"," "," ","West","IN099","RoqC2",2481965,9.970000267,1018.299988,233.0557404,0.63,52.5699997,29.4500008,17.9799995,0.26,0.15,31.2999992,"Deciduous Forest",0.660000026,-7195.63761355896
"20",19,723870.1348,552185.6051,"235117240500tree2","William Clark",1834,"IN","St. Joseph",NA,"tree2","Oak","White Oak","W. Oak","Oak",36,37.819584,"330"," "," ","West","IN091","Ph",272682,9.81000042,1008.73999,210.3368225,1.87,53.6399994,30.8400002,15.5200005,0.2,0.16,28.8700008,"Developed_ Open Space",0.639999986,-10653.1282949498
"21",20,742490.7975,524147.4884,"232123240600tree1","David Hillis",1834,"IN","Marshall",NA,"tree1","Oak","White Oak","W. Oak","Oak",36,23.335488,"312"," "," ","West","IN099","RenA",1702563,9.989999771,1020.820007,239.2155762,6.9000001,34.1800003,41.2200012,24.6000004,0.25,0.19,9.1700001,"Deciduous Forest",0.790000021,-2350.93382157341
"22",21,735724.6281,538891.493,"234113400300tree1","David Hillis",1834,"IN","Marshall",NA,"tree1","Oak","White Oak","W oak","Oak",36,15.0876,"204"," "," ","West","IN099","RopB",1702566,10.02999973,1017.679993,252.7758789,0.91,53.8699989,28.1800003,17.9500008,0.25,0.15,22.1000004,"Cultivated Crops",0.75,-1374.34263151361
"23",22,734239.3701,542958.9069,"234113300540tree2","David Hillis",1834,"IN","Marshall",NA,"tree2","Oak","White Oak","W oak","Oak",36,25.950672,"289"," "," ","West","IN099","BsxA",2481932,9.899999619,1016.530029,229.1076355,0.6,86.9800034,8.7399998,4.2800002,0.1,0.09,91.7399979,"Cultivated Crops",0.419999987,-1071.17882846686
"24",23,745525.277,520797.11,"232123440400tree1","David Hillis",1834,"IN","Marshall",NA,"tree1","Oak","White Oak","W. Oak","Oak",36,96.56064,"270"," "," ","West","IN099","RopB",1702566,9.930000305,1018.940002,244.9983368,0.91,53.8699989,28.1800003,17.9500008,0.25,0.15,22.1000004,"Developed_ Open Space",0.75,-489.083237976498
"25",24,721594.7482,534558.2717,"233117140600tree1","Jeremiah Smith",1834,"IN","Starke",NA,"tree1","Oak","Red Oak","red oak","Oak",36,19.513296,"158"," "," ","West","IN149","Mr",162620,9.800000191,1011.76001,216.7859497,0.5,88.4000015,7.4000001,4.1999998,0.09,0.07,91.7399979,"Cultivated Crops",0.370000005,-15052.9133322536
"26",25,722723.8493,523208.5707,"232117240500tree1","Abner E. VanNess",1834,"IN","Starke",NA,"tree1","Oak","White Oak","W oak","Oak",36,1.207008,"13"," "," ","West","IN149","WwB",162637,9.800000191,1022.400024,226.7255707,1.0599999,50.6300011,32.4700012,16.8999996,0.31,0.14,9.1700001,"Developed_ Low Intensity",0.629999995,-21373.7016281121
"27",26,729469.9679,550325.5607,"235117600400tree2","William Clark",1834,"IN","St. Joseph",NA,"tree2","Oak","Yellow Oak","y oak","Oak",36,10.0584,"145"," "," ","West","IN141","TmpA",615112,9.819999695,1013.159973,219.1194916,0.92,59.3100014,28.0699997,12.6199999,0.25,0.14,9.1700001,"Developed_ Open Space",0.550000012,-5125.51278105087
"28",27,739873.1425,518519.6937,"232113700240tree2","Sylvester Sibley",1833,"IN","Marshall",NA,"tree2","Oak","White Oak","W. Oak","Oak",36,24.14016,"236"," "," ","West","IN099","RopB",1702566,9.869999886,1026.550049,241.6536407,0.91,53.8699989,28.1800003,17.9500008,0.25,0.15,22.1000004,"Cultivated Crops",0.75,-5376.89381971535
"29",28,722512.0165,536937.7534,"234117200140tree1","Jeremiah Smith",1834,"IN","Starke",NA,"tree1","Oak","White Oak","w oak","Oak",36,11.868912,"102.5"," "," ","West","IN149","BeA",162607,9.800000191,1011.869995,215.7960815,0.4,88.1999969,7.8000002,4,0.12,0.07,91.7399979,"Developed_ Open Space",0.319999993,-13326.2242484402
"30",29,732946.4331,552621.5467,"235113200540tree1","David Hillis",1834,"IN","Marshall",NA,"tree1","Oak","White Oak","W oak","Oak",36,9.253728,"110"," "," ","West","IN141","OlcA",612130,9.829999924,1015.76001,223.7782898,0.92,71.5299988,16.0799999,12.3900003,0.15,0.14,35.2200012,"Cultivated Crops",0.660000026,-1698.63750184666
"31",30,737372.0594,538848.381,"234113500300tree1","David Hillis",1834,"IN","Marshall",NA,"tree1","Oak","White Oak","W oak","Oak",36,19.312128,"110"," "," ","West","IN099","RopA",1702565,10.06000042,1017.940002,260.9142151,0.91,53.8699989,28.1800003,17.9500008,0.25,0.15,22.1000004,"Cultivated Crops",0.75999999,-127.774006483283
"32",31,722962.556,529653.1502,"233117240300tree1","Jeremiah Smith",1834,"IN","Starke",NA,"tree1","Oak","White Oak","w oak","Oak",36,47.877984,"250.5"," "," ","West","IN149","Cp",162610,9.800000191,1013.73999,215.8126526,1.04,67.3499985,22.4400005,10.21,0.2,0.14,41.5699997,"Developed_ Low Intensity",0.660000026,-16473.0659032896
"33",32,727782.0732,527838.2503,"233117540200tree1","Jeremiah Smith",1834,"IN","Starke",NA,"tree1","Other","Swamp Ash-I","swamp ash","Ash",36,7.242048,"159"," "," ","West","IN149","An",162605,9.819999695,1020.179993,220.539917,0.72,82.5,11,6.5,0.14,0.08,72.6900024,"Woody Wetlands",0.5,-14626.6349006686
"34",33,736696.9628,523485.0355,"232113500540tree1","David Hillis",1834,"IN","Marshall",NA,"tree1","Other","Aspen","Poplar","Poplar/tulip poplar",36,2.414016,"204"," "," ","West","IN099","RopB",1702566,9.920000076,1024.619995,248.5846558,0.91,53.8699989,28.1800003,17.9500008,0.25,0.15,22.1000004,"Developed_ Open Space",0.75,-8169.42617515657
"35",34,738254.0992,521027.9577,"232113600400tree1","David Hillis",1834,"IN","Marshall",NA,"tree1","Other","Aspen","Poplar","Poplar/tulip poplar",36,4.828032,"75"," "," ","West","IN099","RopB",1702566,9.890000343,1027.98999,256.4767456,0.91,53.8699989,28.1800003,17.9500008,0.25,0.15,22.1000004,"Cultivated Crops",0.75,-7148.61813225501
"36",35,741472.3757,541947.5197,"234123140500tree1","David Hillis",1834,"IN","Marshall",NA,"tree1","Oak","White Oak","w oak","Oak",34,10.863072,"121"," "," ","West","IN099","OlcA",1702559,10.02999973,1019.820007,249.8094788,0.92,71.5299988,16.0799999,12.3900003,0.15,0.14,35.2200012,"Developed_ Open Space",0.660000026,-647.291564140456
"37",36,735124.0744,543711.1112,"234113340600tree1","David Hillis",1834,"IN","Marshall",NA,"tree1","Oak","White Oak","W oak","Oak",34,26.755344,"142"," "," ","West","IN099","AbhAN",1702539,9.920000076,1017.320007,228.5293274,0.3,89,6,5,0.15,0.06,91.7399979,"Cultivated Crops",0.790000021,-930.022011433644
"38",37,717345.0794,529932.3358,"233127500300tree2","Jeremiah Smith",1834,"IN","Starke",NA,"tree2","Oak","White Oak","w oak","Oak",34,19.714464,"322.25"," "," ","West","IN149","PlB",162626,9.81000042,1005.599976,217.1826935,0.53,95.1500015,3.1400001,1.71,0.03,0.07,55,"Developed_ Medium Intensity",0.330000013,-20922.2477161035
"39",38,744838.1678,521626.152,"232123400440tree1","David Hillis",1834,"IN","Marshall",NA,"tree1","Oak","Bur Oak","Burr Oak","Oak",34,6.839712,"305"," "," ","West","IN099","BuuA",1702542,9.960000038,1019.830017,241.468811,2.1099999,35.2299995,36.3800011,28.3899994,0.26,0.18,9.1700001,"Cultivated Crops",0.790000021,-907.869827606925
"40",39,729333.9748,526171.5025,"233117640100tree1","David Hillis",1834,"IN","Starke",NA,"tree1","Oak","White Oak","w oak","Oak",34,18.306288,"28"," "," ","West","IN149","WwB",162637,9.819999695,1023.359985,229.5170288,1.0599999,50.6300011,32.4700012,16.8999996,0.31,0.14,9.1700001,"Developed_ Open Space",0.629999995,-14957.6642855462
"41",40,733698.3913,550201.2173,"235113240400tree1","David Hillis",1834,"IN","Marshall",NA,"tree1","Oak","White Oak","W oak","Oak",34,13.07592,"18"," "," ","West","IN099","BshA",1702515,9.840000153,1017.48999,223.924469,0.46,66.5899963,20.2700005,13.1400003,0.17,0.15,28.2299995,"Developed_ Open Space",0.660000026,-1053.9039072667
"42",41,727637.1291,544747.6623,"234117500640tree2","Jeremiah Smith",1834,"IN","Starke",NA,"tree2","Oak","White Oak","w oak","Oak",33,16.898112,"144"," "," ","West","IN149","BeA",162607,9.840000153,1012.73999,215.3516693,0.4,88.1999969,7.8000002,4,0.12,0.07,91.7399979,"Deciduous Forest",0.319999993,-5916.9016532372
"43",42,734151.3627,540547.5502,"234113300400tree1","David Hillis",1834,"IN","Marshall",NA,"tree1","Oak","White Oak","W oak","Oak",33,8.650224,"304"," "," ","West","IN099","CnbC",1702544,9.930000305,1016.809998,234.5006256,0.39,91.75,5.4000001,2.8499999,0.02,0.07,55,"Cultivated Crops",0.449999988,-1151.05863008117
"44",43,734507.2501,550969.1488,"235113300440tree1","David Hillis",1834,"IN","Marshall",NA,"tree1","Oak","White Oak","W oak","Oak",33,8.04672,"331"," "," ","West","IN141","OlcA",612130,9.840000153,1018.450012,224.2260742,0.92,71.5299988,16.0799999,12.3900003,0.15,0.14,35.2200012,"Developed_ Open Space",0.660000026,-50.6662700863854
"45",44,741719.5302,525780.7156,"233123200100tree2","Robert Clark",1833,"IN","Marshall",NA,"tree2","Oak","White Oak","W. Oak","Oak",32,6.236208,"284"," "," ","West","IN099","RoqB",2481964,10.02999973,1020.599976,241.7254334,0.68,52.8400002,29.7199993,17.4300003,0.27,0.15,32.1699982,"Cultivated Crops",0.75999999,-3461.21852661143
"46",45,744994.2966,526462.0032,"233123400140tree1","David Hillis",1834,"IN","Marshall",NA,"tree1","Oak","Red Oak","Red Oak","Oak",32,8.650224,"88"," "," ","West","IN099","RopB",1702566,10.01000023,1019.309998,244.1096344,0.91,53.8699989,28.1800003,17.9500008,0.25,0.15,22.1000004,"Cultivated Crops",0.75,-1025.17842879757
"47",46,742191.4047,539517.661,"234123200340tree2","David Hillis",1834,"IN","Marshall",NA,"tree2","Oak","White Oak","w oak","Oak",32,16.696944,"50"," "," ","West","IN099","WkxB",2481976,10.02999973,1019.25,250.9032288,0.94,51.2799988,30.0699997,18.6499996,0.28,0.18,9.1700001,"Developed_ Open Space",0.790000021,-1981.78728855345
"48",47,738938.5994,538813.8225,"234113600300tree2","David Hillis",1834,"IN","Marshall",NA,"tree2","Oak","White Oak","W oak","Oak",32,7.845552,"305"," "," ","West","IN099","CvdA",1702545,10.03999996,1018.570007,253.1793213,0.86,42.0400009,36.7200012,21.2399998,0.34,0.15,4.54,"Cultivated Crops",0.560000002,-966.095440017124
"49",48,734641.5866,530834.9402,"233113340400tree1","David Hillis",1834,"IN","Marshall",NA,"tree1","Oak","White Oak","W. Oak","Oak",32,2.01168,"30"," "," ","West","IN099","RoqC2",2481965,9.970000267,1019.26001,242.047348,0.63,52.5699997,29.4500008,17.9799995,0.26,0.15,31.2999992,"Developed_ Open Space",0.660000026,-8299.88853803924
"50",49,738925.8807,538001.0376,"234113600240tree2","David Hillis",1834,"IN","Marshall",NA,"tree2","Oak","White Oak","W oak","Oak",32,3.419856,"110"," "," ","West","IN099","SdzA",2453035,10.03999996,1018.630005,250.674118,0.81,57.4000015,28.6499996,13.9499998,0.29,0.13,37.0499992,"Deciduous Forest",0.560000002,-1264.31250103204
"51",50,729389.5733,548727.3427,"235117600300tree1","William Clark",1834,"IN","St. Joseph",NA,"tree1","Oak","White Oak","Double W. Oak","Oak",32,1.408176,"184"," "," ","West","IN141","CnbB",625115,9.819999695,1012.789978,220.718277,0.39,91.75,5.4000001,2.8499999,0.02,0.07,55,"Developed_ Low Intensity",0.449999988,-4993.23125166508
"52",51,732450.9116,537344.794,"234113200200tree2","David Hillis",1834,"IN","Marshall",NA,"tree2","Oak","White Oak","W oak","Oak",31,4.224528,"318"," "," ","West","IN099","OndA",2481950,9.920000076,1016.650024,238.9550476,0.92,57.1100006,26.4699993,16.4200001,0.27,0.16,9.1700001,"Developed_ Low Intensity",0.779999971,-4274.37332999506
"53",52,734421.183,546963.7994,"235113300200tree2","David Hillis",1834,"IN","Marshall",NA,"tree2","Oak","White Oak","W oak","Oak",30,2.816352,"113"," "," ","West","IN099","CvdA",1702545,9.869999886,1018.25,225.6169586,0.86,42.0400009,36.7200012,21.2399998,0.34,0.15,4.54,"Developed_ Open Space",0.560000002,-535.456472995427
"54",53,705969.7,548116.2814,"235137340200tree1","William Clark",1834,"IN","LaPorte",NA,"tree1","Oak","White Oak","w oak","Oak",30,6.839712,"145"," "," ","West","IN091","HaA",272663,9.800000191,1001.01001,217.6460419,1.16,55.75,26.9200001,17.3299999,0.24,0.15,26.5100002,"Herbaceous",0.569999993,-27685.7149499603
"55",54,713413.0345,531686.2098,"233127240400tree1","Jeremiah Smith",1834,"IN","Starke",NA,"tree1","Oak","Red Oak","r oak","Oak",30,24.14016,"105.25"," "," ","West","IN149","Co",162609,9.81000042,1000.210022,208.1078033,1.4299999,65.5,25.2600002,9.2399998,0.21,0.14,51.0900002,"Developed_ Open Space",0.610000014,-23702.2769249884
"56",55,709965.6548,551195.7009,"235137600400tree1","William Clark",1834,"IN","LaPorte",NA,"tree1","Oak","Yellow Oak","y oak","Oak",30,60.3504,"314"," "," ","West","IN091","HaA",272663,9.81000042,1002.869995,218.742691,1.16,55.75,26.9200001,17.3299999,0.24,0.15,26.5100002,"Cultivated Crops",0.569999993,-24241.0770348149
"57",56,704317.4413,548238.928,"235137240200tree1","William Clark",1834,"IN","LaPorte",NA,"tree1","Oak","Red Oak","r oak","Oak",30,50.292,"310"," "," ","West","IN091","TcA",272694,9.789999962,1000.340027,218.0415802,0.92,59.3100014,28.0699997,12.6199999,0.25,0.14,9.1700001,"Cultivated Crops",0.550000012,-29342.0366600683
"58",57,724318.7478,524474.479,"232117340600tree1","Abner E. VanNess",1834,"IN","Starke",NA,"tree1","Oak","White Oak","W oak","Oak",30,284.250384,"197"," "," ","West","IN149","Ad",162603,9.789999962,1021.179993,220.9167328,0.3,89,6,5,0.15,0.06,91.7399979,"Cultivated Crops",0.790000021,-19412.8106461717
"59",58,727852.9073,551993.5213,"235117500500tree1","William Clark",1834,"IN","St. Joseph",NA,"tree1","Oak","White Oak","W Oak","Oak",30,48.28032,"239"," "," ","West","IN141","OlcB",612665,9.829999924,1011.359985,212.3726501,0.92,71.5299988,16.0799999,12.3900003,0.15,0.14,35.2200012,"Cultivated Crops",0.660000026,-6749.72326780211
"60",59,726537.1657,521421.7593,"232117500400tree1","Abner E. VanNess",1834,"IN","Starke",NA,"tree1","Oak","White Oak","W oak","Oak",30,152.083008,"263.5"," "," ","West","IN149","Mr",162620,9.789999962,1031.5,221.4819794,0.5,88.4000015,7.4000001,4.1999998,0.09,0.07,91.7399979,"Cultivated Crops",0.370000005,-18502.393280948
"61",60,705242.3197,555239.6627,"235137300640tree1","William Clark",1834,"IN","LaPorte",NA,"tree1","Oak","White Oak","w oak","Oak",30,15.288768,"180"," "," ","West","IN091","TcB",272695,9.850000381,1008.289978,231.6450806,0.92,59.3100014,28.0699997,12.6199999,0.25,0.14,9.1700001,"Cultivated Crops",0.550000012,-29268.205840851
"62",61,706738.3276,545602.4927,"234137400640tree1","Jeremiah Smith",1835,"IN","LaPorte",NA,"tree1","Oak","White Oak","w oak","Oak",30,85.094064,"157.33"," "," ","West","IN091","ChB",272651,9.789999962,1000.469971,212.9834137,0.43,91.4599991,4.0799999,4.46,0.1,0.09,91.7399979,"Cultivated Crops",0.479999989,-26782.5845265352
"63",62,703605.4325,552360.7455,"235137200440tree1","William Clark",1834,"IN","LaPorte",NA,"tree1","Oak","White Oak","w oak","Oak",30,93.54312,"0"," "," ","West","IN091","Sb",272690,9.840000153,1005.840027,224.2288971,1.34,49.9599991,26.1200008,23.9200001,0.14,0.16,16.6000004,"Cultivated Crops",0.600000024,-30705.1812748514
"64",63,728376.7739,522964.6142,"232117600500tree1","Abner E. VanNess",1834,"IN","Starke",NA,"tree1","Oak","White Oak","W oak","Oak",30,1.00584,"180"," "," ","West","IN149","CrA",162611,9.789999962,1030.670044,223.8970184,1.04,44.4199982,35.6699982,19.9099998,0.35,0.11,3.78,"Developed_ Open Space",0.479999989,-16505.3808634013
"65",64,719900.5393,552385.2948,"235127600500tree2","William Clark",1834,"IN","LaPorte",NA,"tree2","Oak","Yellow Oak","y oak","Oak",30,99.175824,"348"," "," ","West","IN091","Br",272648,9.789999962,1005.669983,210.2438202,1.27,72.2099991,17.5599995,10.2299995,0.12,0.12,65.6999969,"Developed_ Open Space",0.519999981,-14588.3166480966
"66",65,728453.3489,524617.3959,"232117600600tree2","Abner E. VanNess",1834,"IN","Starke",NA,"tree2","Oak","Black Oak","B oak","Oak",30,38.020752,"15"," "," ","West","IN149","Mr",162620,9.819999695,1025.160034,226.2089844,0.5,88.4000015,7.4000001,4.1999998,0.09,0.07,91.7399979,"Deciduous Forest",0.370000005,-16236.2674579145
"67",66,714830.6979,526821.885,"233127340100tree1","Jeremiah Smith",1834,"IN","Starke",NA,"tree1","Oak","White Oak","w oak","Oak",30,28.16352,"26"," "," ","West","IN149","Mr",162620,9.819999695,1000.73999,218.4748535,0.5,88.4000015,7.4000001,4.1999998,0.09,0.07,91.7399979,"Herbaceous",0.370000005,-24694.0726667771
"68",67,724912.1499,518382.4696,"232117400200tree2","Abner E. VanNess",1834,"IN","Starke",NA,"tree2","Oak","White Oak","W oak","Oak",30,90.324432,"340.5"," "," ","West","IN149","BeA",162607,9.829999924,1031.219971,220.3860168,0.4,88.1999969,7.8000002,4,0.12,0.07,91.7399979,"Deciduous Forest",0.319999993,-19982.4822204506
"69",68,741363.7604,538740.6009,"234123140300tree2","David Hillis",1834,"IN","Marshall",NA,"tree2","Oak","White Oak","w oak","Oak",30,6.638544,"20"," "," ","West","IN099","MvhAN",1702557,10.03999996,1019.01001,249.839325,0,0,0,0,0,0,0,"Cultivated Crops",0.889999986,-2216.85655733382
"70",69,733483.4644,521182.5664,"232113300400tree2","David Hillis",1834,"IN","Marshall",NA,"tree2","Oak","White Oak","W. Oak","Oak",30,4.626864,"340"," "," ","West","IN099","OlcC2",2481945,9.899999619,1033.77002,227.9705353,0.86,71.6900024,15.2799997,13.0299997,0.15,0.14,35.2200012,"Developed_ Low Intensity",0.540000021,-11718.3392316777
"71",70,739757.9241,538791.1285,"234113640300tree2","David Hillis",1834,"IN","Marshall",NA,"tree2","Oak","White Oak","W oak","Oak",30,5.230368,"23"," "," ","West","IN099","RoqB",2481964,10.03999996,1018.73999,253.2836151,0.68,52.8400002,29.7199993,17.4300003,0.27,0.15,32.1699982,"Developed_ Open Space",0.75999999,-1674.21686588666
"72",71,742217.0939,516095.6979,"232123240100tree1","Sylvester Sibley",1833,"IN","Marshall",NA,"tree1","Oak","White Oak","W. Oak","Oak",30,48.481488,"342"," "," ","West","IN099","WftA",2481973,9.890000343,1024.560059,240.7604675,2.24,27.2600002,52.7799988,19.9599991,0.37,0.2,7.1900001,"Cultivated Crops",0.920000017,-2545.11065583713
"73",72,732402.9214,536612.7329,"234113200140tree1","David Hillis",1834,"IN","Marshall",NA,"tree1","Oak","White Oak","W oak","Oak",30,71.41464,"342"," "," ","West","IN099","RopB",1702566,9.909999847,1016.580017,237.1618195,0.91,53.8699989,28.1800003,17.9500008,0.25,0.15,22.1000004,"Cultivated Crops",0.75,-4848.10465680857
"74",73,732469.064,536627.3186,"234113200140tree2","David Hillis",1834,"IN","Marshall",NA,"tree2","Oak","White Oak","W oak","Oak",30,95.5548,"27"," "," ","West","IN099","RoqC2",2481965,9.930000305,1016.780029,237.0581818,0.63,52.5699997,29.4500008,17.9799995,0.26,0.15,31.2999992,"Cultivated Crops",0.660000026,-4794.94905271653
"75",74,721914.7826,523244.323,"232117200500tree1","Abner E. VanNess",1834,"IN","Starke",NA,"tree1","Oak","Black Oak","B oak","Oak",30,1.207008,"212"," "," ","West","IN149","PlB",162626,9.789999962,1018.530029,222.825119,0.53,95.1500015,3.1400001,1.71,0.03,0.07,55,"Developed_ Low Intensity",0.330000013,-21838.5975697601
"76",75,713583.342,554910.7347,"235127200640tree1","William Clark",1834,"IN","LaPorte",NA,"tree1","Oak","White Oak","w oak","Oak",30,11.06424,"82"," "," ","West","IN091","Mx",272675,9.829999924,1006.309998,218.3544464,0.65,90.7799988,5.5300002,3.6900001,0.17,0.09,91.7399979,"Deciduous Forest",0.49000001,-20923.8585006339
"77",76,711890.5366,533263.1399,"233127140500tree1","Jeremiah Smith",1834,"IN","Starke",NA,"tree1","Oak","Red Oak","r oak","Oak",30,135.184896,"140.33"," "," ","West","IN149","Co",162609,9.81000042,999.8300171,206.5235291,1.4299999,65.5,25.2600002,9.2399998,0.21,0.14,51.0900002,"Cultivated Crops",0.610000014,-24564.1813639393
