"","POINT_X","density","Line"
"159",707180.11,34.4934419416,"West"
"160",707203.8193,0,"West"
"161",707227.53,0,"West"
"162",707228.1419,3.57144461667,"West"
"163",707268.3537,193.194723123,"West"
"164",707306.031,0.759174887278,"West"
"165",707309.18,3.99613380445,"West"
"166",707343.6558,0,"West"
"167",707378.13,14.7632446068,"West"
"168",707395.803,0,"West"
"169",707421.568,4.32874038051,"West"
"170",707465,29.5969820886,"West"
"171",707509.6264,54.9003480804,"West"
"172",707551.9529,3.54396725765,"West"
"173",707554.25,129.028107252,"West"
"174",707576.0651,0,"West"
"175",707583.288,1.0382487138,"West"
"176",707591.7485,29.968517389,"West"
"177",707608.2474,31.8031145822,"West"
"178",707622.7179,27.9621668314,"West"
"179",707822.6878,0,"West"
"180",707839.8837,0,"West"
"181",707878.46,11.7424913949,"West"
"182",707924.5684,59.6511249661,"West"
"183",707927.9825,416.439566925,"West"
"184",707970.68,1.3551878335,"West"
"185",707992.7606,34.8300346532,"West"
"186",708004.1483,2.53281348348,"West"
"187",708047.1609,5.82729117095,"West"
"188",708071.9145,3.6228175464,"West"
"189",708106.21,0,"West"
"190",708125.7772,512.40564766,"West"
"191",708150.5436,0,"West"
"192",708193.0207,38.6964574318,"West"
"193",708273.9596,3.66907963687,"West"
"194",708320.4895,104.29547866,"West"
"195",708355.29,57.7594289206,"West"
"196",708360.7087,39.6987210857,"West"
"197",708366.6835,23.4774327326,"West"
"198",708378.08,0,"West"
"199",708385.4174,0,"West"
"200",708392.76,59.4929544695,"West"
"201",708410.55,7.36933867189,"West"
"202",708421.47,15.9320496647,"West"
"203",708432.775,0,"West"
"204",708444.08,0,"West"
"205",708450.2213,0,"West"
"206",708599.2314,357.328614702,"West"
"207",708656.47,3.80680121245,"West"
"208",708667.8653,99.5531318716,"West"
"209",708699.9996,95.5977547018,"West"
"210",708743.53,0,"West"
"211",708774.4716,563.651708025,"West"
"212",708805.41,7.95585346493,"West"
"213",708836.1021,176.345065345,"West"
"214",708866.79,22.6226440517,"West"
"215",708904.5844,36.9047999353,"West"
"216",708942.37,0,"West"
"217",708975.1421,35.103916577,"West"
"218",709007.91,0.947241298716,"West"
"219",709021.6619,21.1565462648,"West"
"220",709045.4123,47.7180969841,"West"
"221",709100.41,18.5261328222,"West"
"222",709133.7914,247.32699577,"West"
"223",709167.17,2.14148067449,"West"
"224",709168.6036,74.1070340679,"West"
"225",709202.3088,40.1621668171,"West"
"226",709208.9012,37.1360138875,"West"
"227",709223.9379,0,"West"
"228",709237.45,1.69202245106,"West"
"229",709245.3379,0.341979116221,"West"
"230",709262.4064,21.3468961033,"West"
"231",709287.36,531.727517656,"West"
"232",709314.2016,509.149327043,"West"
"233",709370.1322,0,"West"
"234",709399.23,146.139634259,"West"
"235",709428.4771,25.6255815123,"West"
"236",709467.0386,40.8737715205,"West"
"237",709500.78,0,"West"
"238",709550.1484,1.16884726363,"West"
"239",709618.2319,0,"West"
"240",709686.077,0,"West"
"241",709702.7758,37.2677690587,"West"
"242",709739.4,0.730001936503,"West"
"243",709753.9471,91.5719152951,"West"
"244",709823.915,74.8396827286,"West"
"245",709848.31,0,"West"
"246",709907.5311,0,"West"
"247",709974.441,39.2168353835,"West"
"248",709979.13,0,"West"
"249",709980.524,31.5969955016,"West"
"250",709983.7762,27.8931937568,"West"
"251",709988.42,5.92986207608,"West"
"252",709997.8379,0,"West"
"253",710007.25,0,"West"
"254",710016.8275,17.9956838757,"West"
"255",710026.4,1.3717647053,"West"
"256",710039.6314,0,"West"
"257",710054.5876,13.6450329728,"West"
"258",710217.2962,0,"West"
"259",710277.61,0,"West"
"260",710306.888,0,"West"
"261",710317.1874,21.8721961751,"West"
"262",710356.76,55.8537691134,"West"
"263",710393.9088,0,"West"
"264",710431.05,0,"West"
"265",710454.6942,212.945382437,"West"
"266",710468.2068,0.630756141045,"West"
"267",710505.36,421.856488162,"West"
"268",710533.1015,14.9097278628,"West"
"269",710535.4397,0,"West"
"270",710565.52,1.78347876639,"West"
"271",710602.72,30.4832983667,"West"
"272",710639.92,0,"West"
"273",710677.2842,3.89025071419,"West"
"274",710714.65,135.615573327,"West"
"275",710748.1807,0,"West"
"276",710781.71,0,"West"
"277",710786.9476,0.334675526242,"West"
"278",710795.7263,51.9575868211,"West"
"279",710797.507,20.0184513948,"West"
"280",710811.7636,0,"West"
"281",710814.8354,73.5264520741,"West"
"282",710839.9098,0,"West"
"283",710871.0642,67.2997196754,"West"
"284",710900.31,0.171613638755,"West"
"285",710930.9583,0,"West"
"286",710961.6,0,"West"
"287",710998.4846,0,"West"
"288",711035.37,0.26097831813,"West"
"289",711074.566,0,"West"
"290",711082.542,126.596045714,"West"
"291",711113,0,"West"
"292",711143.9944,15.4364404701,"West"
"293",711170.0168,22.8228827725,"West"
"294",711174.99,0,"West"
"295",711209.9423,0,"West"
"296",711242.9687,0,"West"
"297",711243.51,99.5309738453,"West"
"298",711285.111,0,"West"
"299",711315.6528,87.3232546265,"West"
"300",711326.71,13.8047514556,"West"
"301",711374.5333,134.927770226,"West"
"302",711375.6789,23.1903162336,"West"
"303",711423.2,0,"West"
"304",711444.1576,5.91406572784,"West"
"305",711502.7,946.085977999,"West"
"306",711530.3251,0,"West"
"307",711547.3396,16.7147289893,"West"
"308",711587.76,33.9074423825,"West"
"309",711591.98,0,"West"
"310",711595.3954,3.41592421706,"West"
"311",711595.425,7.50431807425,"West"
"312",711603.03,0,"West"
"313",711603.27,0,"West"
"314",711618.2443,1.68447233968,"West"
"315",711623.2287,0.582543576407,"West"
"316",711633.22,2.50244935338,"West"
"317",711644.3218,0,"West"
"318",711684.366,0,"West"
"319",711740.2125,0.667473917876,"West"
"320",711808.6877,0.157208543294,"West"
"321",711904.2793,0,"West"
"322",711943.7749,101.366899322,"West"
"323",711945.907,0,"West"
"324",711983.27,27.1573516596,"West"
"325",712019.0767,0,"West"
"326",712054.88,2.00182997363,"West"
"327",712075.9492,1.51535679869,"West"
"328",712090.4147,1.97347743905,"West"
"329",712155.892,0.951964639091,"West"
"330",712185.84,3.46331700314,"West"
"331",712217.1166,15.0327670283,"West"
"332",712248.4,35.8064089611,"West"
"333",712297.1985,10.2707785991,"West"
"334",712381.7219,0,"West"
"335",712394.98,0.947430914251,"West"
"336",712429.8629,32.4533794728,"West"
"337",712464.74,0.655592651244,"West"
"338",712488.8712,0,"West"
"339",712495.8311,107.13261069,"West"
"340",712526.92,0.832818948068,"West"
"341",712530.0895,746.85144437,"West"
"342",712553.5144,6.67827210959,"West"
"343",712586.7347,3.54570386743,"West"
"344",712617.942,0,"West"
"345",712655.77,0,"West"
"346",712688.4472,0,"West"
"347",712704.4134,5.79911071239,"West"
"348",712721.12,0,"West"
"349",712749.9676,0,"West"
"350",712778.81,0,"West"
"351",712790.739,30.3846302019,"West"
"352",712834.39,0,"West"
"353",712862.4109,0,"West"
"354",712908.39,19.4018752619,"West"
"355",712933.8755,1.52622946941,"West"
"356",712946.7874,0,"West"
"357",712996.7022,79.1693784688,"West"
"358",713043.67,0,"West"
"359",713065.3815,0,"West"
"360",713171.47,30.3281391253,"West"
"361",713176.6688,7.98010225132,"West"
"362",713210.1213,57.0561964945,"West"
"363",713248.78,0,"West"
"364",713269.866,0,"West"
"365",713319.55,32.4761376787,"West"
"366",713329.669,0,"West"
"367",713390.0133,0,"West"
"368",713423.5357,165.103918361,"West"
"369",713457.09,162.007426978,"West"
"370",713464.9003,0,"West"
"371",713498.6697,52.1892799976,"West"
"372",713528.67,0.480945847935,"West"
"373",713532.1564,0,"West"
