FID,density,POINT_X,POINT_Y
0,0,758542.30840,517087.70140
1,0,758664.05000,521925.78090
2,0,767743.02100,523337.69580
3,0,767748.78020,524114.12420
4,0,768559.27000,523324.21390
5,0,771848.81980,523240.79960
6,0,779070.46000,516757.47000
7,0,762213.98270,531458.97320
8,0,768615.57800,528105.89800
9,0,768644.93150,529716.86090
10,0,770244.87090,528075.85270
11,0,774347.55490,532063.67770
12,0,774375.66130,533604.10270
13,0,770228.10400,526469.64040
14,0,747969.34070,543431.96140
15,0,749489.13060,543436.70140
16,0,750437.41800,544172.77520
17,0,750413.26000,543405.62000
18,0,751204.20380,543342.13420
19,0,752643.56030,538382.53910
20,0,756781.60760,542158.61730
21,0,771274.47820,538421.68160
22,0,772054.36890,537605.48200
23,0,772868.74840,538389.15370
24,0,773641.11000,535964.03380
25,0,773659.44440,537568.85320
26,0,779253.20870,535035.08740
27,0,772852.52000,537584.34000
28,0,779263.34000,535833.47000
29,0,779350.36000,540677.26000
30,0,746511.25210,548313.20630
31,0,748268.87490,553060.93300
32,0,751304.69750,546524.18680
33,0,751452.42240,551348.01630
34,0,752085.90080,545687.97240
35,0,752110.45000,546491.92000
36,0,752180.67530,548916.76740
37,0,752960.59090,548090.61380
38,0,753028.37940,549694.85830
39,0,754629.10290,549650.60040
40,0,756279.37620,551204.14230
41,0,758612.27600,548715.24960
42,0,758719.57430,551933.75090
43,0,760371.00560,553405.60770
44,0,752220.24000,549717.42000
45,0,776314.46620,546507.13690
46,0,751523.97570,526214.52960
47,0,767754.54000,524890.55000
48,0,775948.17030,532042.84390
49,0,776746.38100,531222.01840
50,0,777555.53000,531216.82000
51,0,777567.77190,532032.79130
52,0,777580.01000,532848.77000
53,0,778377.67870,531210.94570
54,0,778401.32940,532836.29680
55,0,779199.83000,531205.08000
56,0,779211.23620,532014.45120
57,0,779222.65000,532823.83000
58,0,752028.57690,544085.78760
59,0,765593.32300,537793.16900
60,0,773705.21900,540785.44480
61,0,750498.95000,546556.46000
62,0,769059.47420,545912.14520
63,0,768258.35000,545943.39000
64,0,777968.28200,548071.65190
65,162.3042036,777920.25280,546454.93130
66,0,778761.49000,547218.15200
67,328.6592332,778019.23530,549680.21620
68,0,777893.55000,545644.14000
69,0,778862.26150,550426.36000
70,0,765004.22670,545253.75660
71,266.4156702,778805.02960,548831.71130
72,0,746537.20460,524805.43410
73,326.687642,749647.84000,520611.20000
74,143.1865163,746423.83000,520769.00000
75,280.6695507,745720.72590,524014.65010
76,195.426977,748002.11490,519857.32000
77,76.86240517,747978.96000,519083.62000
78,432.0595505,747135.82780,522369.18440
79,61.94779104,749772.91830,524659.14480
80,68.51493906,747089.89100,520748.08900
81,66.59107204,746273.42000,515916.62000
82,41.48902444,745583.48970,519165.89130
83,320.8327793,746445.57070,521576.48420
84,92.95836213,746405.81110,519955.00220
85,131.1328148,749695.18000,522218.77000
86,54.49583785,747044.89690,515884.68600
87,77.17553398,747882.32000,515854.29000
88,37.69774698,749671.51080,521414.98640
89,92.14608213,746362.72990,518334.57880
90,68.93557292,747954.76630,518275.27700
91,19.50774033,748386.77760,517449.40430
92,0.439221426,745515.29330,515942.52330
93,8.482980631,746337.67000,517528.15000
94,215.7214473,744919.53000,524036.30000
95,11.36279047,746387.79000,519141.00000
96,0,747930.57000,517466.93000
97,31.32780158,746305.54520,516722.38540
98,0,747134.12110,517497.54300
99,803.9425289,746467.31000,522383.97000
100,0,747906.44580,516660.61050
101,59.03152406,746521.93000,523993.00000
102,162.1757477,748377.12800,515835.22390
103,100.501448,747183.37510,519112.31280
104,107.0378907,749745.08000,523836.49000
105,602.0643939,749720.12800,523027.63200
106,542.4234382,750585.16280,518972.43980
107,121.8057308,756252.61850,521970.53590
108,546.2307362,759517.66440,524300.70400
109,93.75203048,757699.00620,515494.66300
110,604.9879379,752287.36420,522118.79880
111,701.6093362,752041.80390,515698.37590
112,79.05829671,751358.70860,518139.67820
113,246.0893649,751238.14200,515730.29790
114,136.2679599,751391.40360,518941.72150
115,0,754469.01320,515603.71070
116,77.62223606,752987.81380,518880.97010
117,229.0589377,755373.69120,518788.50750
118,69.82102663,752189.60870,518911.34580
119,93.02528365,756190.66480,519564.45110
120,105.6370866,753729.03090,517242.84860
121,213.2271096,753068.86730,521283.51900
122,42.14039919,754707.87570,524440.61020
123,271.9269119,755278.06200,515575.13650
124,257.1669814,751436.64230,520544.72780
125,87.8785226,751414.02290,519743.22460
126,63.65973099,756108.85650,516354.92260
127,137.3470021,756893.05850,515520.61260
128,167.239957,756347.01670,524379.30310
129,770.0157138,756150.17150,517963.03770
130,236.5603753,750542.24220,520577.96310
131,144.8289491,755419.61550,520390.31660
132,176.6380989,752239.27670,520514.12470
133,597.6162097,753834.77680,520449.02260
134,69.31781627,755463.44610,521992.72140
135,82.23254646,753095.82340,522083.51620
136,71.45646615,753014.86250,519682.24590
137,65.08680322,751457.77370,521349.40460
138,188.8481668,751326.01360,517337.63500
139,224.6176102,754530.66860,517212.21610
140,282.411721,757755.65760,518719.28910
141,112.1180267,752957.60350,518077.22560
142,67.21755197,756932.32790,517136.76240
143,11.24402773,752126.70340,517305.55800
144,32.27635678,753657.23950,515635.08240
145,262.5461969,754602.64200,519614.37300
146,542.5533127,756169.74090,518762.79240
147,209.5146986,757926.06350,524339.61540
148,69.45821913,754554.15510,518013.21930
149,87.14663065,750439.76240,515761.14120
150,404.9916506,757825.34580,521127.02040
151,154.7114116,756962.69930,518741.04080
152,0,752845.46570,515666.45400
153,0,756130.60220,517163.28300
154,136.8194838,759331.31670,516258.11050
155,49.85836101,759502.76040,523529.64920
156,0,754577.64150,518814.22260
157,115.5384195,759485.39660,522723.86470
158,394.0685009,751478.90500,522154.08140
159,396.0474073,757001.10650,520343.33440
160,215.6199463,754499.84090,516407.96340
161,126.5465919,754627.64240,520414.52350
