"","X","FID","density","basal","POINT_X","POINT_Y","Line","water","notree","nodata","Type","distance"
"61",214,106,542.423438228,125.881305948,750585.1628,518972.4398,"East",NA," ",NA,"Forest",4586.26669336554
"62",216,107,121.805730826,28.8849014095,756252.6185,521970.5359,"East",NA," ",NA,"Forest",9767.25775491961
"63",218,108,546.230736175,200.388140317,759517.6644,524300.704,"East",NA," ",NA,"Forest",12988.0730461274
"64",220,109,93.7520304799,19.4294857051,757699.0062,515494.663,"East",NA," ",NA,"Forest",11821.9335683892
"65",222,110,604.987937863,327.703994868,752287.3642,522118.7988,"East",NA," ",NA,"Forest",5829.46303905627
"66",224,111,701.609336163,71.1021396077,752041.8039,515698.3759,"East",NA," ",NA,"Forest",6272.27381704259
"67",226,112,79.0582967088,7.73147003382,751358.7086,518139.6782,"East",NA," ",NA,"Forest",5269.81066670007
"68",228,113,246.089364936,52.8708164176,751238.142,515730.2979,"East",NA," ",NA,"Forest",5496.34866658589
"69",230,114,136.2679599,23.4763181106,751391.4036,518941.7215,"East",NA," ",NA,"Forest",5373.86389826784
"70",232,115,0,0,754469.0132,515603.7107,"East",NA," ",NA,"Prairie",8644.24899291922
"71",234,116,77.6222360627,8.18100765191,752987.8138,518880.9701,"East",NA," ",NA,"Forest",6946.40100425887
"72",236,117,229.05893774,45.1496261168,755373.6912,518788.5075,"East",NA," ",NA,"Forest",9312.36541802602
"73",238,118,69.8210266284,28.3384479491,752189.6087,518911.3458,"East",NA," ",NA,"Forest",6158.52222450492
"74",240,119,93.0252836455,9.80441424942,756190.6648,519564.4511,"East",NA," ",NA,"Forest",10211.8243176502
"75",242,120,105.637086571,46.3009430879,753729.0309,517242.8486,"East",NA," ",NA,"Forest",7653.63200761596
"76",244,121,213.227109601,154.394549018,753068.8673,521283.519,"East",NA," ",NA,"Forest",6791.63190581194
"77",246,122,42.1403991893,4.4413939318,754707.8757,524440.6102,"East",NA," ",NA,"Savanna",8221.57961409913
"78",248,123,271.926911885,61.866542609,755278.062,515575.1365,"East",NA," ",NA,"Forest",9437.10247009802
"79",250,124,257.166981399,76.1001247854,751436.6423,520544.7278,"East",NA," ",NA,"Forest",5419.35584596887
"80",252,125,87.8785225974,32.0606673496,751414.0229,519743.2246,"East",NA," ",NA,"Forest",5489.68764051114
"81",254,126,63.6597309891,11.9027820077,756108.8565,516354.9226,"East",NA," ",NA,"Forest",10112.3237947843
"82",256,127,137.34700207,25.6804639237,756893.0585,515520.6126,"East",NA," ",NA,"Forest",11026.3638156807
"83",258,128,167.239957013,61.3530176043,756347.0167,524379.3031,"East",NA," ",NA,"Forest",9839.45499911447
"84",260,129,770.015713843,81.1559260152,756150.1715,517963.0377,"East",NA," ",NA,"Forest",10061.1970634011
"85",262,130,236.560375265,88.7015144397,750542.2422,520577.9631,"East",NA," ",NA,"Forest",4524.35396473856
"86",264,131,144.828949149,46.0863525626,755419.6155,520390.3166,"East",NA," ",NA,"Forest",9298.10137821814
"87",266,132,176.638098868,34.8169960122,752239.2767,520514.1247,"East",NA," ",NA,"Forest",6222.56665153485
"88",268,133,597.616209729,62.9858534447,753834.7768,520449.0226,"East",NA," ",NA,"Forest",7771.61896751577
"89",270,134,69.3178162735,25.4296717009,755463.4461,521992.7214,"East",NA," ",NA,"Forest",8982.46169167102
"90",272,135,82.2325464556,21.6672800834,753095.8234,522083.5162,"East",NA," ",NA,"Forest",6630.29512069012
"91",274,136,71.4564661477,13.3605770301,753014.8625,519682.2459,"East",NA," ",NA,"Forest",7077.56003085479
"92",276,137,65.0868032161,23.8774982656,751457.7737,521349.4046,"East",NA," ",NA,"Forest",5230.88731914773
"93",278,138,188.848166827,79.7104185282,751326.0136,517337.635,"East",NA," ",NA,"Forest",5249.84914295498
"94",280,139,224.617610203,34.7137040232,754530.6686,517212.2161,"East",NA," ",NA,"Forest",8455.60336384885
"95",282,140,282.41172097,133.941722803,757755.6576,518719.2891,"East",NA," ",NA,"Forest",11684.5327972565
"96",284,141,112.118026722,62.2649027792,752957.6035,518077.2256,"East",NA," ",NA,"Forest",6868.17396928032
"97",286,142,67.21755197,25.2041308693,756932.3279,517136.7624,"East",NA," ",NA,"Forest",10857.5713385402
"98",288,143,11.2440277322,2.02828612916,752126.7034,517305.558,"East",NA," ",NA,"Savanna",6050.73178261686
