FID,Join_Count,TARGET_FID,entryid,POINT_X,POINT_Y,TRP,Join,UniqueID,Surveyor,SurveyYear,State,County,cornerid,TreeNo,Group_,L2_tree,L1_tree,L3_tree,TDiameter,TDistance,TDegree,ecotype,ecotypenot,ecotype2,ecotypen_1,ecotype3,ecotypen_2,feature,featurenot,timbernote,understory,landnotes,landnotesv,waterwet_1,generalnot,Line,AREASYMBOL,SPATIALVER,MUSYM,MUKEY,temp,precip,DEM,muname,om_r,sandtotal_,silttotal_,claytotal_,kwfact,kffact,awc_r,ksat_r,RASTERVALU,CLASS
13,1,3043, ,772696.1016,528846.3252, ,233153300340tree1,2.33E+11,Reuben J. Dawson,1834,IN,Kosciusko, ,tree1,Oak,White Oak,W. Oak,Oak,40,8.449056,255, , , , , , , , , , , , , , ,East,IN085,5,MaB,160880,9.949999809,991.25,252.5024261,"Martinsville sandy loam, 2 to 6 percent slopes",1.04,55.6800003,26.1399994,18.1800003,0.26,0.26,0.17,17.9400005,21,"Developed, Open Space"
14,1,3050, ,757925.3277,524338.9314, ,232133600640tree1,2.32E+11,David Hillis,1834,IN,Marshall, ,tree1,Other,Elm,elm,Elm,40,1.00584,225, , , , , , , , , , , , , , ,East,IN099,4,CvdA,1702545,9.970000267,1008.119995,248.709137,"Crosier loam, 0 to 1 percent slopes",0.86,42.0400009,36.7200012,21.2399998,0.34,0.34,0.15,4.54,21,"Developed, Open Space"
15,1,3055, ,766181.5592,526546.4788, ,233143500200tree2,2.33E+11,Reuben J. Dawson,1834,IN,Marshall, ,tree2,Oak,White Oak,w oak,Oak,36,6.03504,81.25, , , , , , , , , , , , , , ,East,IN085,5,BrA,160856,9.93999958,998.2399902,245.4480896,"Bronson sandy loam, 0 to 2 percent slopes",0.98,67.3300018,22.2600002,10.4099998,0.2,0.2,0.14,28.2299995,21,"Developed, Open Space"
16,1,3061, ,770271.5841,524866.7046, ,233153140100tree1,2.33E+11,Robert Clark Jr,1833,IN,Kosciusko, ,tree1,Oak,White Oak,W. Oak,Oak,36,45.665136,80.5, , , , , , , , , , , , , , ,East,IN085,5,OrB,160899,9.930000305,993.8400269,243.5239868,"Ormas loamy sand, 2 to 6 percent slopes",0.57,83.2200012,11.2700005,5.5100002,0.11,0.12,0.1,82.8499985,21,"Developed, Open Space"
17,1,3064, ,771870.3514,521658.2873, ,232153240500tree1,2.32E+11,Reuben J. Dawson,1834,IN,Kosciusko, ,tree1,Oak,White Oak,w oak,Oak,36,22.12848,60.5, , , , , , , , , , , , , , ,East,IN085,5,OrA,160898,9.920000076,991.8599854,246.3432465,"Ormas loamy sand, 0 to 2 percent slopes",0.57,83.2200012,11.2700005,5.5100002,0.11,0.12,0.1,82.8499985,82,Cultivated Crops
18,1,3066, ,777590.9596,533559.9642, ,233153600640tree1,2.33E+11,Reuben J. Dawson,1834,IN,Kosciusko, ,tree1,Oak,White Oak,W. Oak,Oak,36,1.00584,105, , , , , , , , , , , , , , ,East,IN085,5,BoB,160853,9.890000343,986.8099976,257.5125122,"Boyer loamy sand, 1 to 6 percent slopes",0.96,79.3000031,11.4899998,9.21,0.08,0.08,0.09,76.4000015,82,Cultivated Crops
19,1,3067, ,777584.9467,533557.3375, ,233153600640tree2,2.33E+11,Reuben J. Dawson,1834,IN,Kosciusko, ,tree2,Oak,White Oak,W. Oak,Oak,36,5.833872,238, , , , , , , , , , , , , , ,East,IN085,5,BoB,160853,9.890000343,986.8099976,257.5541077,"Boyer loamy sand, 1 to 6 percent slopes",0.96,79.3000031,11.4899998,9.21,0.08,0.08,0.09,76.4000015,82,Cultivated Crops
20,1,3068, ,775951.1556,532854.1351, ,233153500600tree2,2.33E+11,Reuben J. Dawson,1834,IN,Kosciusko, ,tree2,Oak,White Oak,W. Oak,Oak,36,9.05256,239.5, , , , , , , , , , , , , , ,East,IN085,5,ShA,160918,9.890000343,988.6900024,258.5614014,"Shipshe sandy loam, 0 to 2 percent slopes",1.9400001,62.25,19.2399998,18.5100002,0.08,0.15,0.15,29.3600006,21,"Developed, Open Space"
21,1,3069, ,772655.5709,520831.6865, ,232153300440tree1,2.32E+11,Reuben J. Dawson,1834,IN,Kosciusko, ,tree1,Oak,White Oak,w oak,Oak,36,7.242048,32.5, , , , , , , , , , , , , , ,East,IN085,5,OrA,160898,9.930000305,991.2399902,247.9373322,"Ormas loamy sand, 0 to 2 percent slopes",0.57,83.2200012,11.2700005,5.5100002,0.11,0.12,0.1,82.8499985,21,"Developed, Open Space"
22,1,3070, ,772647.8415,520823.9868, ,232153300440tree2,2.32E+11,Reuben J. Dawson,1834,IN,Kosciusko, ,tree2,Oak,Black Oak,b oak,Oak,36,4.02336,242.5, , , , , , , , , , , , , , ,East,IN085,5,OrA,160898,9.930000305,991.2399902,247.9373322,"Ormas loamy sand, 0 to 2 percent slopes",0.57,83.2200012,11.2700005,5.5100002,0.11,0.12,0.1,82.8499985,21,"Developed, Open Space"
23,1,3071, ,771168.2278,533663.5414, ,233153200640tree2,2.33E+11,Reuben J. Dawson,1834,IN,Kosciusko, ,tree2,Oak,White Oak,W Oak,Oak,36,8.650224,100, , , , , , , , , , , , , , ,East,IN085,5,KoB,160874,9.960000038,992.7299805,259.7567444,"Kosciusko sandy loam, 2 to 6 percent slopes",1,64.8099976,17.1299992,18.0599995,0.13,0.18,0.14,12.9700003,41,Deciduous Forest
24,1,3073, ,762009.756,518612.686, ,232143240300tree1,2.32E+11,Reuben J. Dawson,1834,IN,Marshall, ,tree1,Oak,White Oak,w oak,Oak,36,2.5146,307.5, , , , , , , , , , , , , , ,East,IN099,4,OlcB,1702560,9.890000343,1005.609985,240.8862305,"Oshtemo sandy loam, 1 to 5 percent slopes",0.92,71.5299988,16.0799999,12.3900003,0.15,0.15,0.14,35.2200012,82,Cultivated Crops
25,1,3074, ,775849.3254,517553.6248, ,232153500240tree2,2.32E+11,Reuben J. Dawson,1834,IN,Kosciusko, ,tree2,Oak,White Oak,Fked W Oak,Oak,36,12.673584,115, , , , , , , , , , , , , , ,East,IN085,5,ClB,160858,10.03999996,989.3099976,269.7919312,"Coloma loamy sand, 0 to 6 percent slopes, fine-loamy minor components",0.42,89.9100037,7.0100002,3.0799999,0.03,0.03,0.08,55,81,Hay/Pasture
26,1,3075, ,775864.7742,519972.4526, ,232153500400tree1,2.32E+11,Reuben J. Dawson,1834,IN,Kosciusko, ,tree1,Other,Beech,beech,Beech,36,5.0292,72, , , , , , , , , , , , , , ,East,IN085,5,CrA,160860,10.02000046,989.039978,262.7175598,"Crosier loam, 0 to 1 percent slopes",0.86,42.0400009,36.7200012,21.2399998,0.34,0.34,0.15,4.54,21,"Developed, Open Space"
27,1,3076, ,775022.0962,516758.4428, ,232153440200tree2,2.32E+11,Reuben J. Dawson,1834,IN,Kosciusko, ,tree2,Other,Poplar,poplar,Poplar/tulip poplar,36,6.03504,163.5, , , , , , , , , , , , , , ,East,IN085,5,MbB,160883,10.02999973,990.2199707,262.6500244,"Metea loamy sand, 2 to 6 percent slopes",0.53,76.25,17.0900002,6.6599998,0.18,0.18,0.11,79.6699982,82,Cultivated Crops
28,1,3091, ,778282.1615,519956.6953, ,232153640400tree1,2.32E+11,Reuben J. Dawson,1834,IN,Kosciusko, ,tree1,Oak,Red Oak,R. Oak,Oak,34,12.472416,324.5, , , , , , , , , , , , , , ,East,IN085,5,MaB,160880,10.02000046,988.4400024,260.8077087,"Martinsville sandy loam, 2 to 6 percent slopes",1.04,55.6800003,26.1399994,18.1800003,0.26,0.26,0.17,17.9400005,21,"Developed, Open Space"
29,1,3111, ,775832.6358,519160.1727, ,232153500340tree2,2.32E+11,Reuben J. Dawson,1834,IN,Kosciusko, ,tree2,Oak,Bur Oak,burr oak,Oak,32,22.329648,250, , , , , , , , , , , , , , ,East,IN085,5,WlB,160929,10.02000046,989.1400146,259.2722168,"Wawasee fine sandy loam, 2 to 6 percent slopes",1,49.4900017,31.0100002,19.5,0.29,0.29,0.18,8.9799995,81,Hay/Pasture
30,1,3113, ,772615.2942,519220.3167, ,232153300340tree2,2.32E+11,Reuben J. Dawson,1834,IN,Kosciusko, ,tree2,Oak,White Oak,w oak,Oak,32,20.317968,265, , , , , , , , , , , , , , ,East,IN085,5,We,160928,9.970000267,991.4699707,250.2360077,"Washtenaw loam, gravelly substratum",2.1600001,50.2000008,34.25,15.5500002,0.26,0.27,0.2,9.0100002,82,Cultivated Crops
31,1,3120, ,771002.5485,518443.4464, ,232153200300tree2,2.32E+11,Reuben J. Dawson,1834,IN,Kosciusko, ,tree2,Oak,Bur Oak,burr oak,Oak,30,2.212848,138.25, , , , , , , , , , , , , , ,East,IN085,5,Ht,160871,9.93999958,993.0999756,244.6601868,"Houghton muck, undrained",0,0,0,0,0,0,0,0,21,"Developed, Open Space"
32,1,3122, ,775809.2452,515149.5306, ,232153500100tree2,2.32E+11,S. Sibley,1833,IN,Kosciusko, ,tree2,Oak,Red Oak,red oak,Oak,30,3.822192,325, , , , , , , , , , , , , , ,East,IN085,5,CrB,160861,10.10000038,990.1099854,262.3326111,"Crosier loam, 1 to 4 percent slopes",0.86,42.0400009,36.7200012,21.2399998,0.34,0.34,0.15,4.54,-9999, 
33,1,3124, ,757753.1733,518715.8788, ,232133600300tree2,2.32E+11,David Hillis,1834,IN,Marshall, ,tree2,Oak,White Oak,w oak,Oak,30,4.224528,214, , , , , , , , , , , , , , ,East,IN099,4,WciAH,2495705,9.899999619,1010.159973,234.5973206,"Waterford-Cohoctah loams, 0 to 2 percent slopes, frequently flooded, brief duration",1.58,58.0699997,26.3899994,16.5400009,0.28,0.28,0.15,28.5100002,21,"Developed, Open Space"
