FID,Join_Count,TARGET_FID,entryid,POINT_X,POINT_Y,TRP,Join,UniqueID,Surveyor,SurveyYear,State,County,cornerid,TreeNo,Group_,L2_tree,L1_tree,L3_tree,TDiameter,TDistance,TDegree,ecotype,ecotypenot,ecotype2,ecotypen_1,ecotype3,ecotypen_2,feature,featurenot,timbernote,understory,landnotes,landnotesv,waterwet_1,generalnot,Line,AREASYMBOL,SPATIALVER,MUSYM,MUKEY,temp,precip,DEM,muname,om_r,sandtotal_,silttotal_,claytotal_,kwfact,kffact,awc_r,ksat_r,RASTERVALU,CLASS
145,1,3540, ,778315.23,523176.1071, ,232153640600tree2,2.32E+11,Jere Smith,1836,IN,Kosciusko, ,tree2,Oak,White Oak,w oak,Oak,23,9.857232,7.5, , , , , , , , , , , , , , ,East,IN085,5,OrB,160899,9.93999958,988.5499878,249.0826416,"Ormas loamy sand, 2 to 6 percent slopes",0.57,83.2200012,11.2700005,5.5100002,0.11,0.12,0.1,82.8499985,21,"Developed, Open Space"
146,1,3541, ,779097.6191,519939.1527, ,232153700400tree2,2.32E+11,S. Sibley,1833,IN,Kosciusko, ,tree2,Oak,White Oak,w oak,Oak,23,4.02336,193, , , , , , , , , , , , , , ,East,IN085,5,OrC,160900,10,988.2800293,253.3925934,"Ormas loamy sand, 6 to 12 percent slopes",0.57,83.2200012,11.2700005,5.5100002,0.11,0.12,0.1,82.8499985,-9999, 
147,1,3564, ,756324.9245,523643.5561, ,232133500600tree1,2.32E+11,David Hillis,1834,IN,Marshall, ,tree1,Oak,Bur Oak,burr oak,Oak,22,72.621648,4, , , , , , , , , , , , , , ,East,IN099,4,BufA,2481933,9.949999809,1010.380005,240.3211823,"Bronson sandy loam, 0 to 1 percent slopes",0.6,68.0599976,20.6900005,11.25,0.2,0.2,0.14,28.0499992,82,Cultivated Crops
148,1,3568, ,776675.3016,518339.0325, ,232153540300tree1,2.32E+11,Reuben J. Dawson,1834,IN,Kosciusko, ,tree1,Oak,Black Oak,b oak,Oak,22,23.938992,120.5, , , , , , , , , , , , , , ,East,IN085,5,ClC,160859,10.03999996,988.9500122,266.3183899,"Coloma loamy sand, 6 to 12 percent slopes, fine-loamy minor components",0.39,90.1500015,6.8000002,3.05,0.03,0.03,0.08,55,21,"Developed, Open Space"
149,1,3569, ,772732.2323,530468.7799, ,233153300440tree2,2.33E+11,Reuben J. Dawson,1834,IN,Kosciusko, ,tree2,Oak,White Oak,W. Oak,Oak,22,13.176504,43, , , , , , , , , , , , , , ,East,IN085,5,Wt,160932,9.949999809,991.1199951,254.6397247,Whitaker loam,1.29,40.6300011,37.5699997,21.7999992,0.32,0.32,0.19,9.3100004,21,"Developed, Open Space"
150,1,3570, ,777545.5249,523183.8023, ,232153600600tree2,2.32E+11,Jere Smith,1836,IN,Kosciusko, ,tree2,Oak,White Oak,W. Oak,Oak,22,43.25112,50.25, , , , , , , , , , , , , , ,East,IN085,5,OrA,160898,9.93999958,988.5499878,249.0004272,"Ormas loamy sand, 0 to 2 percent slopes",0.57,83.2200012,11.2700005,5.5100002,0.11,0.12,0.1,82.8499985,21,"Developed, Open Space"
151,1,3575, ,779108.7886,522374.1875, ,232153700540tree1,2.32E+11,S. Sibley,1833,IN,Kosciusko, ,tree1,Oak,White Oak,w oak,Oak,22,6.437376,324, , , , , , , , , , , , , , ,East,IN085,5,OrB,160899,9.930000305,988.1199951,249.2812805,"Ormas loamy sand, 2 to 6 percent slopes",0.57,83.2200012,11.2700005,5.5100002,0.11,0.12,0.1,82.8499985,23,"Developed, Medium Intensity"
152,1,3577, ,774217.7929,516769.7451, ,232153400200tree1,2.32E+11,Reuben J. Dawson,1834,IN,Kosciusko, ,tree1,Oak,White Oak,w oak,Oak,22,5.833872,122, , , , , , , , , , , , , , ,East,IN085,5,OrA,160898,10.02000046,990.6900024,258.8424377,"Ormas loamy sand, 0 to 2 percent slopes",0.57,83.2200012,11.2700005,5.5100002,0.11,0.12,0.1,82.8499985,82,Cultivated Crops
153,1,3578, ,779006.4979,520658.4644, ,232153700440tree2,2.32E+11,S. Sibley,1833,IN,Kosciusko, ,tree2,Oak,White Oak,w oak,Oak,22,135.386064,224, , , , , , , , , , , , , , ,East,IN085,5,Wa,160926,9.970000267,988.2000122,247.8637695,Wallkill silt loam,5.6100001,19.7000008,59.6199989,20.6700001,0.36,0.36,0.18,9.1700001,21,"Developed, Open Space"
154,1,3580, ,778237.5291,515122.6906, ,232153640100tree2,2.32E+11,S. Sibley,1833,IN,Kosciusko, ,tree2,Oak,White Oak,W Oak,Oak,22,5.431536,282, , , , , , , , , , , , , , ,East,IN085,5,WlB,160929,10.11999989,989.4799805,265.820282,"Wawasee fine sandy loam, 2 to 6 percent slopes",1,49.4900017,31.0100002,19.5,0.29,0.29,0.18,8.9799995,82,Cultivated Crops
155,1,3582, ,777469.4217,518330.8051, ,232153600300tree2,2.32E+11,Reuben J. Dawson,1834,IN,Kosciusko, ,tree2,Other,Beech,beech,Beech,22,12.07008,142, , , , , , , , , , , , , , ,East,IN085,5,Bc,160850,10.05000019,988.5800171,267.5030212,Barry loam,2.49,51,30.0400009,18.9599991,0.21,0.21,0.19,9.1700001,82,Cultivated Crops
156,1,3608, ,761342.2903,524247.0149, ,232143200640tree2,2.32E+11,Reuben J. Dawson,1834,IN,Marshall, ,tree2,Other,Beech,Beech,Beech,22,6.839712,113, , , , , , , , , , , , , , ,East,IN099,4,CvdA,1702545,9.920000076,1004.960022,251.7850952,"Crosier loam, 0 to 1 percent slopes",0.86,42.0400009,36.7200012,21.2399998,0.34,0.34,0.15,4.54,82,Cultivated Crops
157,1,3631, ,777508.2632,523958.9285, ,232153600640tree2,2.32E+11,Jere Smith,1836,IN,Kosciusko, ,tree2,Other,Beech,beech,Beech,22,6.236208,227.75, , , , , , , , , , , , , , ,East,IN085,5,KtA,160877,9.930000305,988.5599976,249.6852112,"Kosciusko silt loam, 0 to 2 percent slopes",0.92,54.8100014,25.5799999,19.6100006,0.18,0.23,0.14,12.9700003,82,Cultivated Crops
158,1,3640, ,761227.6469,519442.7047, ,232143200340tree2,2.32E+11,Reuben J. Dawson,1834,IN,Marshall, ,tree2,Other,Aspen,Poplar,Poplar/tulip poplar,22,3.621024,312.5, , , , , , , , , , , , , , ,East,IN099,4,BufA,2481933,9.890000343,1006.719971,239.3870392,"Bronson sandy loam, 0 to 1 percent slopes",0.6,68.0599976,20.6900005,11.25,0.2,0.2,0.14,28.0499992,21,"Developed, Open Space"
159,1,3646, ,778249.3742,515127.0116, ,232153640100tree1,2.32E+11,S. Sibley,1833,IN,Kosciusko, ,tree1,Other,custom,W Wood,Tulip poplar,22,8.650224,47.5, , , , , , , , , , , , , , ,East,IN085,5,WlB,160929,10.11999989,989.4799805,265.820282,"Wawasee fine sandy loam, 2 to 6 percent slopes",1,49.4900017,31.0100002,19.5,0.29,0.29,0.18,8.9799995,82,Cultivated Crops
160,1,3650, ,771171.6143,534417.4618, ,234153200100tree1,2.34E+11,Robert Clark,1833,IN,Kosciusko, ,tree1,Oak,Red Oak,Red Oak,Oak,21,3.621024,32, , , , , , , , , , , , , , ,East,IN085,5,OrB,160899,9.960000038,992.710022,258.2061462,"Ormas loamy sand, 2 to 6 percent slopes",0.57,83.2200012,11.2700005,5.5100002,0.11,0.12,0.1,82.8499985,21,"Developed, Open Space"
161,1,3652, ,757874.1539,522752.3861, ,232133600540tree1,2.32E+11,David Hillis,1834,IN,Marshall, ,tree1,Oak,White Oak,w oak,Oak,21,6.437376,328, , , , , , , , , , , , , , ,East,IN099,4,GdnA,2451235,9.93999958,1008.369995,239.7970581,"Gilford mucky sandy loam, 0 to 1 percent slopes, gravelly subsoil",3.53,77.1800003,13.3500004,9.4700003,0.14,0.14,0.11,16.25,82,Cultivated Crops
162,1,3669, ,759325.9156,516262.6276, ,232133700140tree2,2.32E+11,Sylvester Sibley,1833,IN,Marshall, ,tree2,Oak,White Oak,w oak,Oak,20,7.04088,308, , , , , , , , , , , , , , ,East,IN099,4,BufA,2481933,9.890000343,1010.450012,237.6873322,"Bronson sandy loam, 0 to 1 percent slopes",0.6,68.0599976,20.6900005,11.25,0.2,0.2,0.14,28.0499992,21,"Developed, Open Space"
163,1,3670, ,760349.3626,520272.9275, ,232143140400tree2,2.32E+11,Reuben J. Dawson,1834,IN,Marshall, ,tree2,Oak,White Oak,w oak,Oak,20,3.419856,296.5, , , , , , , , , , , , , , ,East,IN099,4,BshA,1702515,9.899999619,1007.5,238.78862,"Brady sandy loam, 0 to 1 percent slopes",0.46,66.5899963,20.2700005,13.1400003,0.17,0.17,0.15,28.2299995,21,"Developed, Open Space"
164,1,3674, ,766944.0556,531473.3759, ,233143540500tree1,2.33E+11,Reuben J. Dawson,1834,IN,Marshall, ,tree1,Oak,White Oak,w oak,Oak,20,165.762432,318, , , , , , , , , , , , , , ,East,IN085,5,Re,160908,9.930000305,997.4400024,247.8447571,Rensselaer loam,3.0999999,34.1800003,41.2200012,24.6000004,0.25,0.25,0.19,9.1700001,82,Cultivated Crops
165,1,3675, ,768014.5734,532244.6242, ,233143600540tree1,2.33E+11,Reuben J. Dawson,1834,IN,Marshall, ,tree1,Oak,White Oak,w oak,Oak,20,165.158928,51, , , , , , , , , , , , , , ,East,IN085,5,Gm,160865,9.930000305,995.75,248.5099335,"Gilford mucky sandy loam, gravelly substratum",4.27,70.1500015,17.7199993,12.1300001,0.14,0.14,0.14,35.2200012,82,Cultivated Crops
166,1,3677, ,767834.5981,529123.3063, ,233143600340tree2,2.33E+11,Reuben J. Dawson,1834,IN,Marshall, ,tree2,Oak,White Oak,w oak,Oak,20,194.529456,0.25, , , , , , , , , , , , , , ,East,IN085,5,OrB,160899,9.899999619,995.7800293,245.6070251,"Ormas loamy sand, 2 to 6 percent slopes",0.57,83.2200012,11.2700005,5.5100002,0.11,0.12,0.1,82.8499985,90,Woody Wetlands
167,1,3678, ,773405.5196,516774.4867, ,232153340200tree1,2.32E+11,Reuben J. Dawson,1834,IN,Kosciusko, ,tree1,Oak,White Oak,w oak,Oak,20,13.478256,185, , , , , , , , , , , , , , ,East,IN085,5,He,160869,10.02000046,990.6900024,251.6477966,Histosols and Aquolls,0,0,0,0,0,0,0,0,21,"Developed, Open Space"
168,1,3679, ,772670.7267,526468.3735, ,233153300200tree2,2.33E+11,Reuben J. Dawson,1834,IN,Kosciusko, ,tree2,Oak,White Oak,W. Oak,Oak,20,37.014912,7, , , , , , , , , , , , , , ,East,IN085,5,He,160869,9.909999847,991.2700195,241.5129089,Histosols and Aquolls,0,0,0,0,0,0,0,0,95,Emergent Herbaceous Wetlands
169,1,3680, ,772616.121,517625.1734, ,232153300240tree2,2.32E+11,Reuben J. Dawson,1834,IN,Kosciusko, ,tree2,Oak,Bur Oak,burr oak,Oak,20,14.08176,9.5, , , , , , , , , , , , , , ,East,IN085,5,WlC2,160930,10.01000023,991.0100098,258.2627258,"Wawasee fine sandy loam, 6 to 12 percent slopes, eroded",1,49.4900017,31.0100002,19.5,0.29,0.29,0.18,8.9799995,82,Cultivated Crops
170,1,3681, ,772578.8534,515200.0459, ,232153300100tree2,2.32E+11,S. Sibley,1833,IN,Kosciusko, ,tree2,Oak,White Oak,w oak,Oak,20,6.437376,19, , , , , , , , , , , , , , ,East,IN085,5,RxB,160913,9.979999542,992.0599976,258.338501,"Riddles-Ormas-Kosciusko complex, 2 to 6 percent slopes",0.81,66.1800003,20.8799992,12.9399996,0.19,0.2,0.13,38.7599983,82,Cultivated Crops
171,1,3684, ,768725.5766,532976.7571, ,233143640600tree2,2.33E+11,Reuben J. Dawson,1834,IN,Marshall, ,tree2,Oak,Bur Oak,burr oak,Oak,20,31.382208,22.5, , , , , , , , , , , , , , ,East,IN085,5,RlB,160910,9.949999809,995.039978,251.536026,"Riddles fine sandy loam, 2 to 6 percent slopes",0.9,46,33,21,0.28,0.28,0.16,12.9799995,82,Cultivated Crops
172,1,3685, ,773522.5284,533069.8636, ,233153340600tree1,2.33E+11,Reuben J. Dawson,1834,IN,Kosciusko, ,tree1,Oak,White Oak,W. Oak,Oak,20,187.689744,349.5, , , , , , , , , , , , , , ,East,IN085,5,Bp,160855,9.93999958,990.3099976,254.6795807,Brady sandy loam,0.46,66.5899963,20.2700005,13.1400003,0.17,0.17,0.15,28.2299995,82,Cultivated Crops
173,1,3686, ,773480.4554,533039.2013, ,233153340600tree2,2.33E+11,Reuben J. Dawson,1834,IN,Kosciusko, ,tree2,Oak,White Oak,W. Oak,Oak,20,169.98696,333.75, , , , , , , , , , , , , , ,East,IN085,5,BrA,160856,9.93999958,990.3099976,254.4685669,"Bronson sandy loam, 0 to 2 percent slopes",0.98,67.3300018,22.2600002,10.4099998,0.2,0.2,0.14,28.2299995,82,Cultivated Crops
174,1,3687, ,770223.4735,523290.3974, ,232153140600tree1,2.32E+11,Reuben J. Dawson,1834,IN,Kosciusko, ,tree1,Oak,White Oak,w oak,Oak,20,6.839712,121, , , , , , , , , , , , , , ,East,IN085,5,OrB,160899,9.909999847,994.0499878,246.8438416,"Ormas loamy sand, 2 to 6 percent slopes",0.57,83.2200012,11.2700005,5.5100002,0.11,0.12,0.1,82.8499985,21,"Developed, Open Space"
175,1,3691, ,775903.7267,528020.7837, ,233153500300tree2,2.33E+11,Reuben J. Dawson,1834,IN,Kosciusko, ,tree2,Oak,White Oak,W. Oak,Oak,20,18.306288,323.5, , , , , , , , , , , , , , ,East,IN085,5,OrA,160898,9.909999847,989.4099731,257.4326477,"Ormas loamy sand, 0 to 2 percent slopes",0.57,83.2200012,11.2700005,5.5100002,0.11,0.12,0.1,82.8499985,21,"Developed, Open Space"
176,1,3692, ,773629.2859,534357.9411, ,234153340100tree1,2.34E+11,Robert Clark,1833,IN,Kosciusko, ,tree1,Oak,White Oak,W. Oak,Oak,20,25.950672,67, , , , , , , , , , , , , , ,East,IN085,5,OrA,160898,9.949999809,989.9400024,254.8793793,"Ormas loamy sand, 0 to 2 percent slopes",0.57,83.2200012,11.2700005,5.5100002,0.11,0.12,0.1,82.8499985,82,Cultivated Crops
177,1,3693, ,773598.4407,534356.4601, ,234153340100tree2,2.34E+11,Robert Clark,1833,IN,Kosciusko, ,tree2,Oak,Yellow Oak,Y. Oak,Oak,20,10.259568,318, , , , , , , , , , , , , , ,East,IN085,5,OrA,160898,9.949999809,989.9400024,255.1662598,"Ormas loamy sand, 0 to 2 percent slopes",0.57,83.2200012,11.2700005,5.5100002,0.11,0.12,0.1,82.8499985,82,Cultivated Crops
178,1,3695, ,773533.3777,531258.4686, ,233153340500tree2,2.33E+11,Reuben J. Dawson,1834,IN,Kosciusko, ,tree2,Oak,White Oak,W. Oak,Oak,20,4.828032,45.5, , , , , , , , , , , , , , ,East,IN085,5,MbB,160883,9.93999958,990.5800171,255.8852539,"Metea loamy sand, 2 to 6 percent slopes",0.53,76.25,17.0900002,6.6599998,0.18,0.18,0.11,79.6699982,82,Cultivated Crops
179,1,3696, ,775088.7963,528006.1847, ,233153440300tree1,2.33E+11,Reuben J. Dawson,1834,IN,Kosciusko, ,tree1,Oak,Red Oak,R. Oak,Oak,20,20.519136,231.75, , , , , , , , , , , , , , ,East,IN085,5,MaB,160880,9.920000076,989.8599854,257.885498,"Martinsville sandy loam, 2 to 6 percent slopes",1.04,55.6800003,26.1399994,18.1800003,0.26,0.26,0.17,17.9400005,82,Cultivated Crops
180,1,3697, ,775115.5246,528026.5228, ,233153440300tree2,2.33E+11,Reuben J. Dawson,1834,IN,Kosciusko, ,tree2,Oak,White Oak,W. Oak,Oak,20,13.07592,49.25, , , , , , , , , , , , , , ,East,IN085,5,MaB,160880,9.920000076,989.8599854,257.8837891,"Martinsville sandy loam, 2 to 6 percent slopes",1.04,55.6800003,26.1399994,18.1800003,0.26,0.26,0.17,17.9400005,21,"Developed, Open Space"
181,1,3699, ,777505.6096,523172.0994, ,232153600600tree1,2.32E+11,Jere Smith,1836,IN,Kosciusko, ,tree1,Oak,Black Oak,B. Oak,Oak,20,15.892272,337, , , , , , , , , , , , , , ,East,IN085,5,OrA,160898,9.93999958,988.5499878,248.9000702,"Ormas loamy sand, 0 to 2 percent slopes",0.57,83.2200012,11.2700005,5.5100002,0.11,0.12,0.1,82.8499985,21,"Developed, Open Space"
182,1,3700, ,771039.6185,526463.5033, ,233153200200tree2,2.33E+11,Reuben J. Dawson,1834,IN,Kosciusko, ,tree2,Oak,White Oak,W Oak,Oak,20,17.903952,304, , , , , , , , , , , , , , ,East,IN085,5,Re,160908,9.909999847,993.0599976,245.127594,Rensselaer loam,3.0999999,34.1800003,41.2200012,24.6000004,0.25,0.25,0.19,9.1700001,82,Cultivated Crops
183,1,3701, ,771153.1347,531282.6753, ,233153200500tree1,2.33E+11,Reuben J. Dawson,1834,IN,Kosciusko, ,tree1,Oak,White Oak,W Oak,Oak,20,19.513296,83.25, , , , , , , , , , , , , , ,East,IN085,5,Pa,160904,9.949999809,992.9000244,253.6764526,"Palms muck, drained",1.5,41,38,21,0.32,0.32,0.18,7.7600002,21,"Developed, Open Space"
184,1,3702, ,768608.5038,526463.2453, ,233143640200tree1,2.33E+11,Reuben J. Dawson,1834,IN,Marshall, ,tree1,Oak,Black Oak,b oak,Oak,20,38.020752,154.5, , , , , , , , , , , , , , ,East,IN085,5,Gf,160864,9.909999847,995.1599731,241.9465942,"Gilford sandy loam, gravelly substratum",2.1700001,70.1500015,17.7199993,12.1300001,0.14,0.14,0.15,35.2200012,82,Cultivated Crops
185,1,3703, ,766252.1545,524123.4243, ,232143500640tree1,2.32E+11,Reuben J. Dawson,1834,IN,Marshall, ,tree1,Oak,White Oak,w oak,Oak,20,107.222544,98.5, , , , , , , , , , , , , , ,East,IN085,5,BoB,160853,9.899999619,998.710022,238.8337402,"Boyer loamy sand, 1 to 6 percent slopes",0.96,79.3000031,11.4899998,9.21,0.08,0.08,0.09,76.4000015,90,Woody Wetlands
186,1,3704, ,766219.7136,524173.1695, ,232143500640tree2,2.32E+11,Reuben J. Dawson,1834,IN,Marshall, ,tree2,Oak,White Oak,w oak,Oak,20,79.059024,65.5, , , , , , , , , , , , , , ,East,IN085,5,W,160924,9.899999619,998.710022,238.2645874,Water,0,0,0,0,0,0,0,0,90,Woody Wetlands
187,1,3706, ,775802.7427,518378.1274, ,232153500300tree2,2.32E+11,Reuben J. Dawson,1834,IN,Kosciusko, ,tree2,Oak,White Oak,w oak,Oak,20,47.475648,286.5, , , , , , , , , , , , , , ,East,IN085,5,RlC,160911,10.02000046,989.1400146,257.111145,"Riddles fine sandy loam, 6 to 12 percent slopes",0.9,46,33,21,0.28,0.28,0.16,12.9799995,21,"Developed, Open Space"
188,1,3709, ,772593.0989,515999.1483, ,232153300140tree2,2.32E+11,Reuben J. Dawson,1834,IN,Kosciusko, ,tree2,Oak,White Oak,w oak,Oak,20,4.224528,77.5, , , , , , , , , , , , , , ,East,IN085,5,MaB,160880,9.970000267,991.6599731,252.0749512,"Martinsville sandy loam, 2 to 6 percent slopes",1.04,55.6800003,26.1399994,18.1800003,0.26,0.26,0.17,17.9400005,41,Deciduous Forest
189,1,3710, ,762878.33,521030.49, ,232143300440tree1,2.32E+11,Reuben J. Dawson,1834,IN,Marshall, ,tree1,Oak,White Oak,w oak,Oak,20,17.903952,12, , , , , , , , , , , , , , ,East,IN099,4,BshA,1702515,9.899999619,1003.190002,239.4136353,"Brady sandy loam, 0 to 1 percent slopes",0.46,66.5899963,20.2700005,13.1400003,0.17,0.17,0.15,28.2299995,82,Cultivated Crops
190,1,3711, ,774214.0389,515970.9496, ,232153400140tree2,2.32E+11,Reuben J. Dawson,1834,IN,Kosciusko, ,tree2,Oak,Bur Oak,burr oak,Oak,20,7.04088,86, , , , , , , , , , , , , , ,East,IN085,5,WlB,160929,9.979999542,991.0200195,261.1682129,"Wawasee fine sandy loam, 2 to 6 percent slopes",1,49.4900017,31.0100002,19.5,0.29,0.29,0.18,8.9799995,41,Deciduous Forest
191,1,3712, ,771849.6542,521634.4341, ,232153240500tree2,2.32E+11,Reuben J. Dawson,1834,IN,Kosciusko, ,tree2,Oak,White Oak,w oak,Oak,20,13.679424,182.5, , , , , , , , , , , , , , ,East,IN085,5,OrA,160898,9.920000076,991.8599854,246.2394104,"Ormas loamy sand, 0 to 2 percent slopes",0.57,83.2200012,11.2700005,5.5100002,0.11,0.12,0.1,82.8499985,21,"Developed, Open Space"
192,1,3713, ,767738.6747,522499.2869, ,232143600540tree1,2.32E+11,Reuben J. Dawson,1834,IN,Marshall, ,tree1,Oak,White Oak,w oak,Oak,20,26.755344,165.25, , , , , , , , , , , , , , ,East,IN085,5,OrB,160899,9.899999619,996.460022,240.20401,"Ormas loamy sand, 2 to 6 percent slopes",0.57,83.2200012,11.2700005,5.5100002,0.11,0.12,0.1,82.8499985,41,Deciduous Forest
193,1,3714, ,767729.1452,522487.7483, ,232143600540tree2,2.32E+11,Reuben J. Dawson,1834,IN,Marshall, ,tree2,Oak,White Oak,w oak,Oak,20,37.819584,183.5, , , , , , , , , , , , , , ,East,IN085,5,OrB,160899,9.899999619,996.460022,240.5330505,"Ormas loamy sand, 2 to 6 percent slopes",0.57,83.2200012,11.2700005,5.5100002,0.11,0.12,0.1,82.8499985,41,Deciduous Forest
194,1,3716, ,775116.3004,529636.4642, ,233153440400tree1,2.33E+11,Reuben J. Dawson,1834,IN,Kosciusko, ,tree1,Oak,White Oak,W. Oak,Oak,20,5.230368,305.5, , , , , , , , , , , , , , ,East,IN085,5,ClB,160858,9.909999847,989.7199707,261.440094,"Coloma loamy sand, 0 to 6 percent slopes, fine-loamy minor components",0.42,89.9100037,7.0100002,3.0799999,0.03,0.03,0.08,55,21,"Developed, Open Space"
195,1,3717, ,773492.0244,528025.4182, ,233153340300tree2,2.33E+11,Reuben J. Dawson,1834,IN,Kosciusko, ,tree2,Oak,White Oak,W. Oak,Oak,20,10.259568,196, , , , , , , , , , , , , , ,East,IN085,5,OrB,160899,9.920000076,990.7800293,256.5999451,"Ormas loamy sand, 2 to 6 percent slopes",0.57,83.2200012,11.2700005,5.5100002,0.11,0.12,0.1,82.8499985,21,"Developed, Open Space"
196,1,3719, ,771804.7365,518444.5623, ,232153240300tree1,2.32E+11,Reuben J. Dawson,1834,IN,Kosciusko, ,tree1,Oak,White Oak,w oak,Oak,20,14.685264,322.75, , , , , , , , , , , , , , ,East,IN085,5,RxB,160913,9.970000267,992.2199707,256.9620056,"Riddles-Ormas-Kosciusko complex, 2 to 6 percent slopes",0.81,66.1800003,20.8799992,12.9399996,0.19,0.2,0.13,38.7599983,21,"Developed, Open Space"
197,1,3720, ,770305.1074,531297.8725, ,233153140500tree1,2.33E+11,Reuben J. Dawson,1834,IN,Kosciusko, ,tree1,Oak,Black Oak,B Oak,Oak,20,6.437376,296, , , , , , , , , , , , , , ,East,IN085,5,OrB,160899,9.979999542,993.460022,254.9115143,"Ormas loamy sand, 2 to 6 percent slopes",0.57,83.2200012,11.2700005,5.5100002,0.11,0.12,0.1,82.8499985,21,"Developed, Open Space"
198,1,3722, ,774209.1564,516768.299, ,232153400200tree2,2.32E+11,Reuben J. Dawson,1834,IN,Kosciusko, ,tree2,Oak,White Oak,w oak,Oak,20,6.03504,217, , , , , , , , , , , , , , ,East,IN085,5,OrA,160898,10.02000046,990.6900024,258.8425903,"Ormas loamy sand, 0 to 2 percent slopes",0.57,83.2200012,11.2700005,5.5100002,0.11,0.12,0.1,82.8499985,82,Cultivated Crops
199,1,3723, ,759464.4854,521930.4511, ,232133700500tree1,2.32E+11,Sylvester Sibley,1833,IN,Marshall, ,tree1,Oak,White Oak,W Oak,Oak,20,12.874752,342, , , , , , , , , , , , , , ,East,IN099,4,GdnA,2451235,9.909999847,1006.320007,240.885498,"Gilford mucky sandy loam, 0 to 1 percent slopes, gravelly subsoil",3.53,77.1800003,13.3500004,9.4700003,0.14,0.14,0.11,16.25,21,"Developed, Open Space"
200,1,3726, ,769406.7777,530442.7105, ,233143700440tree2,2.33E+11,Robert Clark,1834,IN,Marshall, ,tree2,Oak,White Oak,w oak,Oak,20,87.306912,223.5, , , , , , , , , , , , , , ,East,IN085,5,ClB,160858,9.949999809,993.539978,246.1625214,"Coloma loamy sand, 0 to 6 percent slopes, fine-loamy minor components",0.42,89.9100037,7.0100002,3.0799999,0.03,0.03,0.08,55,82,Cultivated Crops
201,1,3727, ,779062.5406,520789.5236, ,232153700440tree1,2.32E+11,S. Sibley,1833,IN,Kosciusko, ,tree1,Oak,White Oak,w oak,Oak,20,55.3212,310, , , , , , , , , , , , , , ,East,IN085,5,OrC,160900,9.970000267,988.2000122,247.689209,"Ormas loamy sand, 6 to 12 percent slopes",0.57,83.2200012,11.2700005,5.5100002,0.11,0.12,0.1,82.8499985,21,"Developed, Open Space"
202,1,3728, ,769330.7268,522484.6794, ,232143700540tree2,2.32E+11,Sylvester Sibley,1833,IN,Marshall, ,tree2,Oak,White Oak,w oak,Oak,20,34.600896,233, , , , , , , , , , , , , , ,East,IN085,5,BoB,160853,9.899999619,994.8499756,241.047348,"Boyer loamy sand, 1 to 6 percent slopes",0.96,79.3000031,11.4899998,9.21,0.08,0.08,0.09,76.4000015,41,Deciduous Forest
203,1,3729, ,771065.8414,525647.7687, ,233153200140tree2,2.33E+11,Reuben J. Dawson,1834,IN,Kosciusko, ,tree2,Oak,White Oak,W Oak,Oak,20,7.04088,118, , , , , , , , , , , , , , ,East,IN085,5,MaA,160879,9.930000305,993.0800171,249.1305542,"Martinsville sandy loam, 0 to 2 percent slopes",1.04,55.6800003,26.1399994,18.1800003,0.26,0.26,0.17,17.9400005,21,"Developed, Open Space"
204,1,3730, ,771200.4767,535214.0256, ,234153200140tree2,2.34E+11,Reuben J. Dawson,1835,IN,Kosciusko, ,tree2,Oak,Red Oak,R. Oak,Oak,20,5.230368,116, , , , , , , , , , , , , , ,East,IN085,5,OrA,160898,9.960000038,992.710022,256.6139221,"Ormas loamy sand, 0 to 2 percent slopes",0.57,83.2200012,11.2700005,5.5100002,0.11,0.12,0.1,82.8499985,21,"Developed, Open Space"
205,1,3731, ,765316.9774,521759.606, ,232143440500tree2,2.32E+11,Reuben J. Dawson,1834,IN,Marshall, ,tree2,Oak,White Oak,w oak,Oak,20,10.460736,110, , , , , , , , , , , , , , ,East,IN085,5,OrA,160898,9.890000343,1000.169983,241.3737183,"Ormas loamy sand, 0 to 2 percent slopes",0.57,83.2200012,11.2700005,5.5100002,0.11,0.12,0.1,82.8499985,21,"Developed, Open Space"
206,1,3733, ,769416.5707,524890.2099, ,233153100100tree1,2.33E+11,Robert Clark Jr,1833,IN,Kosciusko, ,tree1,Oak,White Oak,W. Oak,Oak,20,34.600896,56, , , , , , , , , , , , , , ,East,IN085,5,Gf,160864,9.930000305,993.8400269,242.1446381,"Gilford sandy loam, gravelly substratum",2.1700001,70.1500015,17.7199993,12.1300001,0.14,0.14,0.15,35.2200012,82,Cultivated Crops
207,1,3735, ,774290.1591,527216.1925, ,233153400240tree1,2.33E+11,Reuben J. Dawson,1834,IN,Kosciusko, ,tree1,Oak,White Oak,W. Oak,Oak,20,5.230368,176, , , , , , , , , , , , , , ,East,IN085,5,WlC2,160930,9.930000305,990.3499756,252.8849182,"Wawasee fine sandy loam, 6 to 12 percent slopes, eroded",1,49.4900017,31.0100002,19.5,0.29,0.29,0.18,8.9799995,82,Cultivated Crops
