Id,ORIG_FID,Id_1,POINT_X,POINT_Y
0,0,0,737211.99689,554896.87633
0,0,0,737210.66316,554892.05749
0,0,0,737209.32943,554887.23866
0,0,0,737207.99570,554882.41982
0,0,0,737206.66197,554877.60099
0,0,0,737205.32824,554872.78216
0,0,0,737203.99451,554867.96332
0,0,0,737202.66078,554863.14449
0,0,0,737201.32705,554858.32565
0,0,0,737199.99332,554853.50682
0,0,0,737198.65959,554848.68798
0,0,0,737197.32586,554843.86915
0,0,0,737195.99213,554839.05032
0,0,0,737194.65840,554834.23148
0,0,0,737193.32467,554829.41265
0,0,0,737191.99094,554824.59381
0,0,0,737190.65721,554819.77498
0,0,0,737189.32348,554814.95614
0,0,0,737187.98975,554810.13731
0,0,0,737186.65602,554805.31847
0,0,0,737185.32229,554800.49964
0,0,0,737183.98856,554795.68081
0,0,0,737182.65483,554790.86197
0,0,0,737181.32110,554786.04314
0,0,0,737179.98737,554781.22430
0,0,0,737178.65364,554776.40547
0,0,0,737177.31991,554771.58663
0,0,0,737175.98618,554766.76780
0,0,0,737174.65245,554761.94897
0,0,0,737173.31872,554757.13013
0,0,0,737171.98499,554752.31130
0,0,0,737170.65126,554747.49246
0,0,0,737169.31753,554742.67363
0,0,0,737167.98381,554737.85479
0,0,0,737166.65008,554733.03596
0,0,0,737165.31635,554728.21712
0,0,0,737163.98262,554723.39829
0,0,0,737162.64889,554718.57946
0,0,0,737161.31516,554713.76062
0,0,0,737159.98143,554708.94179
0,0,0,737158.64770,554704.12295
0,0,0,737157.31397,554699.30412
0,0,0,737155.98024,554694.48528
0,0,0,737154.64651,554689.66645
0,0,0,737153.31278,554684.84761
0,0,0,737151.97905,554680.02878
0,0,0,737150.64532,554675.20995
0,0,0,737149.31158,554670.39111
0,0,0,737147.97785,554665.57228
0,0,0,737146.64411,554660.75345
0,0,0,737145.31038,554655.93462
0,0,0,737143.97664,554651.11578
0,0,0,737142.64290,554646.29695
0,0,0,737141.30917,554641.47812
0,0,0,737139.97543,554636.65928
0,0,0,737138.64169,554631.84045
0,0,0,737137.30796,554627.02162
0,0,0,737135.97422,554622.20279
0,0,0,737134.64049,554617.38395
0,0,0,737133.30675,554612.56512
0,0,0,737131.97301,554607.74629
0,0,0,737130.63928,554602.92746
0,0,0,737129.30554,554598.10862
0,0,0,737127.97180,554593.28979
0,0,0,737126.63807,554588.47096
0,0,0,737125.30433,554583.65213
0,0,0,737123.97060,554578.83329
0,0,0,737122.63686,554574.01446
0,0,0,737121.30312,554569.19563
0,0,0,737119.96939,554564.37680
0,0,0,737118.63565,554559.55796
0,0,0,737117.30192,554554.73913
0,0,0,737115.96818,554549.92030
0,0,0,737114.63444,554545.10146
0,0,0,737113.30071,554540.28263
0,0,0,737111.96697,554535.46380
0,0,0,737110.63323,554530.64497
0,0,0,737109.29950,554525.82613
0,0,0,737107.96576,554521.00730
0,0,0,737106.63203,554516.18847
0,0,0,737105.29829,554511.36964
0,0,0,737103.96455,554506.55080
0,0,0,737102.63082,554501.73197
0,0,0,737101.29708,554496.91314
0,0,0,737099.96334,554492.09431
0,0,0,737098.62961,554487.27547
0,0,0,737097.29587,554482.45664
0,0,0,737095.96214,554477.63781
0,0,0,737094.62840,554472.81898
0,0,0,737093.29466,554468.00014
0,0,0,737091.96093,554463.18131
0,0,0,737090.62719,554458.36248
0,0,0,737089.29346,554453.54365
0,0,0,737087.95972,554448.72481
0,0,0,737086.62598,554443.90598
0,0,0,737085.29224,554439.08715
0,0,0,737083.95850,554434.26832
0,0,0,737082.62476,554429.44949
0,0,0,737081.29102,554424.63066
0,0,0,737079.95727,554419.81182
0,0,0,737078.62353,554414.99299
0,0,0,737077.28979,554410.17416
0,0,0,737075.95605,554405.35533
0,0,0,737074.62231,554400.53650
0,0,0,737073.28857,554395.71767
0,0,0,737071.95482,554390.89884
0,0,0,737070.62108,554386.08001
0,0,0,737069.28734,554381.26118
0,0,0,737067.95360,554376.44234
0,0,0,737066.61986,554371.62351
0,0,0,737065.28612,554366.80468
0,0,0,737063.95237,554361.98585
0,0,0,737062.61863,554357.16702
0,0,0,737061.28489,554352.34819
0,0,0,737059.95115,554347.52936
0,0,0,737058.61741,554342.71053
0,0,0,737057.28367,554337.89170
0,0,0,737055.94992,554333.07287
0,0,0,737054.61618,554328.25403
0,0,0,737053.28244,554323.43520
0,0,0,737051.94870,554318.61637
0,0,0,737050.61496,554313.79754
0,0,0,737049.28122,554308.97871
0,0,0,737047.94747,554304.15988
0,0,0,737046.61373,554299.34105
0,0,0,737045.27999,554294.52222
0,0,0,737043.94625,554289.70339
0,0,0,737042.61251,554284.88455
0,0,0,737041.27876,554280.06572
0,0,0,737039.94502,554275.24689
0,0,0,737038.61127,554270.42806
0,0,0,737037.27753,554265.60923
0,0,0,737035.94378,554260.79040
0,0,0,737034.61004,554255.97157
0,0,0,737033.27629,554251.15274
0,0,0,737031.94254,554246.33391
0,0,0,737030.60880,554241.51508
0,0,0,737029.27505,554236.69625
0,0,0,737027.94130,554231.87742
0,0,0,737026.60756,554227.05859
0,0,0,737025.27381,554222.23976
0,0,0,737023.94006,554217.42093
0,0,0,737022.60632,554212.60211
0,0,0,737021.27257,554207.78328
0,0,0,737019.93883,554202.96445
0,0,0,737018.60508,554198.14562
0,0,0,737017.27133,554193.32679
0,0,0,737015.93759,554188.50796
0,0,0,737014.60384,554183.68913
0,0,0,737013.27009,554178.87030
0,0,0,737011.93635,554174.05147
0,0,0,737010.60260,554169.23264
0,0,0,737009.26886,554164.41381
0,0,0,737007.93511,554159.59498
0,0,0,737006.60136,554154.77615
