spcd,FIAspecies,PalEON_L3,plt_cn,ID,Buffer,dbh,basal_area,n,density,STATECD
837,Quercus velutina,Oak,1.69099E+14,1,Oak,24.638,0.708986729,1,14.87090238,18
762,Prunus serotina,Cherry,1.69099E+14,1,Oak,41.021,8.059195087,4,59.48360951,18
693,Nyssa sylvatica,Black gum,2.42374E+14,2,Oak,28.448,0.945215169,1,14.87090238,18
830,Quercus palustris,Oak,2.42374E+14,2,Oak,64.77,4.899762146,1,14.87090238,18
762,Prunus serotina,Cherry,2.42374E+14,2,Oak,33.528,2.78998221,2,29.74180476,18
403,Carya glabra,Hickory,1.45113E+13,4,Oak,31.75,1.177374603,1,14.87090238,18
802,Quercus alba,Oak,1.45113E+13,4,Oak,27.432,0.878905431,1,14.87090238,18
837,Quercus velutina,Oak,1.45113E+13,4,Oak,59.436,4.125972719,1,14.87090238,18
762,Prunus serotina,Cherry,1.45113E+13,4,Oak,43.36142857,15.92631799,7,104.0963167,18
931,Sassafras albidum,Other hardwood,1.45113E+13,4,Oak,27.72228571,6.409891068,7,104.0963167,18
802,Quercus alba,Oak,2.42374E+14,5,Oak,31.115,2.267868378,2,29.74180476,18
931,Sassafras albidum,Other hardwood,2.42374E+14,5,Oak,21.59,1.088986736,2,29.74180476,18
762,Prunus serotina,Cherry,1.45113E+13,6,Oak,22.098,0.570339095,1,14.87090238,18
931,Sassafras albidum,Other hardwood,1.45113E+13,6,Oak,25.654,0.768665493,1,14.87090238,18
830,Quercus palustris,Oak,1.45113E+13,6,Oak,22.352,1.7668531,3,44.61270714,18
837,Quercus velutina,Oak,2.42374E+14,7,Oak,50.038,2.924334781,1,14.87090238,18
830,Quercus palustris,Oak,2.42374E+14,9,Oak,30.861,2.301023247,2,29.74180476,18
802,Quercus alba,Oak,2.42374E+14,9,Oak,25.4,3.040000062,4,59.48360951,18
837,Quercus velutina,Oak,2.42374E+14,9,Oak,57.8485,16.57253653,4,59.48360951,18
105,Pinus banksiana,Pine,2.42374E+14,12,Oak,22.352,0.583525691,1,14.87090238,18
601,Juglans cinerea,Walnut,2.42374E+14,12,Oak,20.32,0.482252637,1,14.87090238,18
544,Fraxinus pennsylvanica,Ash,2.20855E+14,14,Oak,38.1,1.695419428,1,14.87090238,18
922,Salix nigra,Willow,2.20855E+14,14,Oak,26.543,1.662339911,2,29.74180476,18
802,Quercus alba,Oak,2.42374E+14,15,Oak,43.942,2.255209247,1,14.87090238,18
931,Sassafras albidum,Other hardwood,2.42374E+14,15,Oak,27.432,0.878905431,1,14.87090238,18
693,Nyssa sylvatica,Black gum,2.42374E+14,15,Oak,27.22033333,5.313293782,6,89.22541427,18
762,Prunus serotina,Cherry,2.42374E+14,15,Oak,32.766,7.661487366,6,89.22541427,18
462,Celtis occidentalis,Hackberry,1.45112E+13,17,Oak,34.29,1.373289736,1,14.87090238,18
837,Quercus velutina,Oak,1.45112E+13,17,Oak,22.098,0.570339095,1,14.87090238,18
762,Prunus serotina,Cherry,1.45112E+13,17,Oak,27.559,1.857350821,2,29.74180476,18
931,Sassafras albidum,Other hardwood,1.45112E+13,17,Oak,28.27866667,2.896982014,3,44.61270714,18
403,Carya glabra,Hickory,1.69092E+14,20,Oak,27.559,1.775970688,2,29.74180476,18
830,Quercus palustris,Oak,1.69092E+14,20,Oak,45.5295,10.43451538,4,59.48360951,18
317,Acer saccharinum,Maple,1.69092E+14,20,Oak,27.99644444,8.856418978,9,133.8381214,18
373,Betula nigra,Birch,2.20854E+14,22,Oak,37.338,1.628280818,1,14.87090238,18
407,Carya ovata,Hickory,2.20854E+14,22,Oak,30.988,1.121538789,1,14.87090238,18
660,Malus,Other hardwood,2.20854E+14,22,Oak,23.114,0.623989701,1,14.87090238,18
802,Quercus alba,Oak,2.20854E+14,22,Oak,79.248,7.335062612,1,14.87090238,18
830,Quercus palustris,Oak,2.20854E+14,22,Oak,28.194,0.928411679,1,14.87090238,18
972,Ulmus americana,Elm,2.20854E+14,22,Oak,24.21466667,2.135022847,3,44.61270714,18
317,Acer saccharinum,Maple,2.20854E+14,22,Oak,40.05942857,13.43043454,7,104.0963167,18
129,Pinus strobus,Pine,2.42374E+14,24,Oak,22.098,1.720511635,3,44.61270714,18
313,Acer negundo,Maple,1.69099E+14,26,Other,22.098,0.570339095,1,14.87090238,18
682,Morus rubra,Other hardwood,1.69099E+14,26,Other,25.654,0.768665493,1,14.87090238,18
762,Prunus serotina,Cherry,1.69099E+14,26,Other,37.1475,6.730664424,4,59.48360951,18
762,Prunus serotina,Cherry,2.20854E+14,27,Other,22.86,1.221304804,2,29.74180476,18
972,Ulmus americana,Elm,2.20854E+14,27,Other,22.733,1.207515392,2,29.74180476,18
544,Fraxinus pennsylvanica,Ash,1.45112E+13,28,Other,21.59,0.544418016,1,14.87090238,18
833,Quercus rubra,Oak,1.45112E+13,28,Other,47.117,5.977898198,2,29.74180476,18
